#Duplication rate	Coverage
1.0	2.21259089E8
2.0	2.8363142E7
3.0	3274548.0
4.0	471529.0
5.0	82672.0
6.0	22588.0
7.0	10249.0
8.0	6490.0
9.0	4668.0
10.0	3655.0
11.0	2948.0
12.0	2329.0
13.0	1912.0
14.0	1678.0
15.0	1456.0
16.0	1209.0
17.0	1118.0
18.0	964.0
19.0	888.0
20.0	780.0
21.0	680.0
22.0	676.0
23.0	644.0
24.0	535.0
25.0	537.0
26.0	477.0
27.0	455.0
28.0	416.0
29.0	387.0
30.0	343.0
31.0	325.0
32.0	293.0
33.0	282.0
34.0	284.0
35.0	246.0
36.0	249.0
37.0	254.0
38.0	212.0
39.0	192.0
40.0	205.0
41.0	201.0
42.0	182.0
43.0	168.0
44.0	157.0
45.0	169.0
46.0	173.0
47.0	143.0
48.0	140.0
49.0	130.0
50.0	4482.0
