#Mapping quality	mapping quality
0.0	4207624.0
1.0	414102.0
2.0	765143.0
3.0	1498291.0
4.0	902994.0
5.0	811714.0
6.0	1725753.0
7.0	3261105.0
8.0	2415092.0
9.0	1808058.0
10.0	1770487.0
11.0	2369418.0
12.0	6424664.0
13.0	2290664.0
14.0	2713410.0
15.0	3416260.0
16.0	3591744.0
17.0	3917974.0
18.0	4873317.0
19.0	4704506.0
20.0	5436475.0
21.0	7433029.0
22.0	7674705.0
23.0	1.0264811E7
24.0	1.3463641E7
25.0	1.1195608E7
26.0	1.286249E7
27.0	1.4957375E7
28.0	1.8145902E7
29.0	2.0430328E7
30.0	3.1957299E7
31.0	3.0283337E7
32.0	3.9149127E7
33.0	4.648795E7
34.0	5.9974774E7
35.0	7.6444313E7
36.0	1.09492235E8
37.0	1.4420914E8
38.0	2.09130748E8
39.0	2.84269983E8
40.0	3.56966763E8
41.0	5.9794356E8
42.0	6.7565385E8
