#Duplication rate	Coverage
1.0	2.60868913E8
2.0	3.3339941E7
3.0	4366123.0
4.0	669339.0
5.0	124720.0
6.0	33175.0
7.0	13906.0
8.0	8035.0
9.0	5528.0
10.0	4222.0
11.0	3257.0
12.0	2819.0
13.0	2290.0
14.0	1898.0
15.0	1609.0
16.0	1427.0
17.0	1324.0
18.0	1061.0
19.0	996.0
20.0	891.0
21.0	846.0
22.0	719.0
23.0	677.0
24.0	617.0
25.0	515.0
26.0	518.0
27.0	490.0
28.0	436.0
29.0	398.0
30.0	431.0
31.0	355.0
32.0	359.0
33.0	306.0
34.0	277.0
35.0	328.0
36.0	247.0
37.0	238.0
38.0	237.0
39.0	232.0
40.0	228.0
41.0	208.0
42.0	205.0
43.0	197.0
44.0	186.0
45.0	177.0
46.0	151.0
47.0	136.0
48.0	129.0
49.0	143.0
50.0	4874.0
