#Coverage (X)	Coverage
1.0	92.56809597811173
2.0	91.68060447998143
3.0	90.69031105832396
4.0	89.44603387107665
5.0	87.8534717877649
6.0	85.85567406279266
7.0	83.41712564746307
8.0	80.51126984595193
9.0	77.1311704204289
10.0	73.28419416786969
11.0	69.00141060653684
12.0	64.34201011863283
13.0	59.383202697902504
14.0	54.2207724796179
15.0	48.95769419807577
16.0	43.70358391480853
17.0	38.56904478052892
18.0	33.649354756571
19.0	29.025582997623687
20.0	24.756175480192425
21.0	20.880998619765194
22.0	17.423266254445423
23.0	14.385593739905005
24.0	11.758037892211973
25.0	9.516377073887668
26.0	7.630735086809381
27.0	6.06488315476912
28.0	4.78036886535223
29.0	3.7407923413012725
30.0	2.9082398610810856
31.0	2.2490775197727686
32.0	1.7321463130068508
33.0	1.330635796683282
34.0	1.0218070477910004
35.0	0.785760278775939
36.0	0.6069704565563114
37.0	0.4723475121180343
38.0	0.371863065851997
39.0	0.29707087445575553
40.0	0.24121467233783278
41.0	0.19959660017839553
42.0	0.1684456282677047
43.0	0.1451097871157998
44.0	0.1273601500612358
45.0	0.11379197232656679
46.0	0.10328751630571276
47.0	0.09494043677138109
48.0	0.08812797622738344
49.0	0.08245473769726175
50.0	0.07767197303010676
51.0	0.0736156458691255
