#Mapping quality	mapping quality
0.0	3984743.0
1.0	380520.0
2.0	689228.0
3.0	1372338.0
4.0	897518.0
5.0	853161.0
6.0	1948499.0
7.0	3412700.0
8.0	2147753.0
9.0	2040353.0
10.0	1891595.0
11.0	2374246.0
12.0	6693590.0
13.0	2234981.0
14.0	2657654.0
15.0	3448844.0
16.0	3442875.0
17.0	3826114.0
18.0	4814672.0
19.0	4630972.0
20.0	5378494.0
21.0	7164608.0
22.0	7409734.0
23.0	9461277.0
24.0	1.175242E7
25.0	1.069429E7
26.0	1.2257621E7
27.0	1.4091185E7
28.0	1.6259765E7
29.0	1.864457E7
30.0	2.831137E7
31.0	2.8179565E7
32.0	3.5785407E7
33.0	4.4759279E7
34.0	5.9265506E7
35.0	8.1706323E7
36.0	1.19729425E8
37.0	1.72015076E8
38.0	2.58650891E8
39.0	3.6978631E8
40.0	4.92178729E8
41.0	6.09458807E8
42.0	4.02856265E8
