#Duplication rate	Coverage
1.0	2.44641352E8
2.0	3.2220671E7
3.0	4278375.0
4.0	693166.0
5.0	140017.0
6.0	42023.0
7.0	19284.0
8.0	12291.0
9.0	8668.0
10.0	6995.0
11.0	5577.0
12.0	4552.0
13.0	3945.0
14.0	3209.0
15.0	2907.0
16.0	2525.0
17.0	2256.0
18.0	2017.0
19.0	1711.0
20.0	1543.0
21.0	1442.0
22.0	1293.0
23.0	1166.0
24.0	1171.0
25.0	1032.0
26.0	866.0
27.0	860.0
28.0	762.0
29.0	726.0
30.0	695.0
31.0	628.0
32.0	595.0
33.0	547.0
34.0	569.0
35.0	505.0
36.0	481.0
37.0	476.0
38.0	457.0
39.0	416.0
40.0	390.0
41.0	375.0
42.0	325.0
43.0	364.0
44.0	307.0
45.0	301.0
46.0	271.0
47.0	263.0
48.0	275.0
49.0	243.0
50.0	7891.0
