#Mapping quality	mapping quality
0.0	4255237.0
1.0	455392.0
2.0	822311.0
3.0	1580930.0
4.0	1055378.0
5.0	1013639.0
6.0	2082682.0
7.0	3578786.0
8.0	2641912.0
9.0	2376202.0
10.0	2371458.0
11.0	2952476.0
12.0	7258738.0
13.0	3052224.0
14.0	3623120.0
15.0	4483430.0
16.0	4692138.0
17.0	5069540.0
18.0	6214793.0
19.0	6204009.0
20.0	7017432.0
21.0	8942403.0
22.0	9268734.0
23.0	1.1628544E7
24.0	1.4416762E7
25.0	1.2471895E7
26.0	1.379664E7
27.0	1.56206E7
28.0	1.8228448E7
29.0	2.0570709E7
30.0	3.0486699E7
31.0	2.9872777E7
32.0	3.8804086E7
33.0	4.7563304E7
34.0	6.0715852E7
35.0	8.0485476E7
36.0	1.15052307E8
37.0	1.57660046E8
38.0	2.30285841E8
39.0	3.21449544E8
40.0	4.17117877E8
41.0	6.0753829E8
42.0	5.45767644E8
