#Duplication rate	Coverage
1.0	2.21787457E8
2.0	2.654049E7
3.0	3237982.0
4.0	478564.0
5.0	88614.0
6.0	24836.0
7.0	11391.0
8.0	7155.0
9.0	5335.0
10.0	3992.0
11.0	3134.0
12.0	2684.0
13.0	2184.0
14.0	1994.0
15.0	1646.0
16.0	1431.0
17.0	1252.0
18.0	1109.0
19.0	967.0
20.0	908.0
21.0	845.0
22.0	722.0
23.0	680.0
24.0	597.0
25.0	549.0
26.0	527.0
27.0	494.0
28.0	477.0
29.0	439.0
30.0	415.0
31.0	397.0
32.0	350.0
33.0	333.0
34.0	334.0
35.0	262.0
36.0	288.0
37.0	276.0
38.0	242.0
39.0	257.0
40.0	232.0
41.0	213.0
42.0	245.0
43.0	219.0
44.0	191.0
45.0	175.0
46.0	162.0
47.0	156.0
48.0	162.0
49.0	165.0
50.0	5167.0
