#Mapping quality	mapping quality
0.0	3924723.0
1.0	388917.0
2.0	727991.0
3.0	1454666.0
4.0	884340.0
5.0	819349.0
6.0	1821296.0
7.0	3351517.0
8.0	2394382.0
9.0	1938455.0
10.0	1803062.0
11.0	2306300.0
12.0	6699208.0
13.0	2214403.0
14.0	2605668.0
15.0	3301331.0
16.0	3443111.0
17.0	3723388.0
18.0	4728008.0
19.0	4489304.0
20.0	5118124.0
21.0	7013657.0
22.0	7230494.0
23.0	9931778.0
24.0	1.3119619E7
25.0	1.048871E7
26.0	1.1783301E7
27.0	1.3737128E7
28.0	1.6256714E7
29.0	1.8477841E7
30.0	2.8872197E7
31.0	2.663559E7
32.0	3.4664753E7
33.0	4.1442253E7
34.0	5.1156081E7
35.0	6.6819444E7
36.0	9.5633082E7
37.0	1.29930496E8
38.0	1.92731806E8
39.0	2.78092426E8
40.0	3.84381007E8
41.0	6.44705786E8
42.0	6.93364101E8
