Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
BACW_50_2_val_2	(20, 19331.0)	(25, 22049.0)	(30, 26745.0)	(35, 34639.0)	(40, 43595.0)	(45, 52501.0)	(50, 66045.0)	(55, 83308.0)	(60, 106483.0)	(65, 110542.0)	(70, 179790.0)	(75, 173761.0)	(80, 266162.0)	(85, 271445.0)	(90, 379873.0)	(95, 407186.0)	(100, 685012.0)	(105, 633977.0)	(110, 1400908.0)	(115, 1943434.0)	(120, 3940462.0)	(125, 121244843.0)	(130, 93485220.0)
BACW_52_1	(150, 242548220.0)																						
BACW_52_1_val_1	(20, 10652.0)	(25, 14272.0)	(30, 18556.0)	(35, 24668.0)	(40, 32363.0)	(45, 38671.0)	(50, 46629.0)	(55, 58595.0)	(60, 77276.0)	(65, 76710.0)	(70, 120126.0)	(75, 107828.0)	(80, 157412.0)	(85, 161031.0)	(90, 226595.0)	(95, 226565.0)	(100, 395282.0)	(105, 342234.0)	(110, 715643.0)	(115, 946630.0)	(120, 2157349.0)	(125, 100574734.0)	(130, 135650415.0)
BACW_52_2	(150, 242548220.0)																						
BACW_52_2_val_2	(20, 36089.0)	(25, 41433.0)	(30, 50382.0)	(35, 61376.0)	(40, 71717.0)	(45, 83620.0)	(50, 100093.0)	(55, 119958.0)	(60, 138843.0)	(65, 145144.0)	(70, 199230.0)	(75, 191515.0)	(80, 252971.0)	(85, 254200.0)	(90, 327489.0)	(95, 352111.0)	(100, 529602.0)	(105, 492073.0)	(110, 910027.0)	(115, 1261961.0)	(120, 2841964.0)	(125, 130899888.0)	(130, 102818550.0)
BACW_53_1	(150, 206577036.0)																						
BACW_53_1_val_1	(20, 4117.0)	(25, 5630.0)	(30, 7878.0)	(35, 11116.0)	(40, 15724.0)	(45, 19366.0)	(50, 24523.0)	(55, 31833.0)	(60, 46524.0)	(65, 45498.0)	(70, 78611.0)	(75, 76311.0)	(80, 117924.0)	(85, 126194.0)	(90, 168912.0)	(95, 174927.0)	(100, 306533.0)	(105, 283135.0)	(110, 668424.0)	(115, 951758.0)	(120, 2040536.0)	(125, 84689453.0)	(130, 116597695.0)
BACW_53_2	(150, 206577036.0)																						
BACW_53_2_val_2	(20, 15644.0)	(25, 17789.0)	(30, 22186.0)	(35, 28186.0)	(40, 34504.0)	(45, 41691.0)	(50, 51585.0)	(55, 63801.0)	(60, 77516.0)	(65, 80940.0)	(70, 119750.0)	(75, 120878.0)	(80, 168011.0)	(85, 174595.0)	(90, 223773.0)	(95, 245681.0)	(100, 383463.0)	(105, 368794.0)	(110, 785382.0)	(115, 1152127.0)	(120, 2532876.0)	(125, 112130764.0)	(130, 87652686.0)
BACW_55_1	(150, 251688266.0)																						
BACW_55_1_val_1	(20, 5594.0)	(25, 8097.0)	(30, 11479.0)	(35, 16005.0)	(40, 23279.0)	(45, 27731.0)	(50, 35264.0)	(55, 46211.0)	(60, 68422.0)	(65, 64654.0)	(70, 120244.0)	(75, 104733.0)	(80, 170776.0)	(85, 172398.0)	(90, 252682.0)	(95, 250837.0)	(100, 466749.0)	(105, 385914.0)	(110, 890865.0)	(115, 1194024.0)	(120, 2524969.0)	(125, 103234024.0)	(130, 141492607.0)
BACW_55_2	(150, 251688266.0)																						
BACW_55_2_val_2	(20, 22573.0)	(25, 26451.0)	(30, 32344.0)	(35, 40554.0)	(40, 49979.0)	(45, 58903.0)	(50, 73126.0)	(55, 89740.0)	(60, 112152.0)	(65, 114499.0)	(70, 177632.0)	(75, 165842.0)	(80, 240879.0)	(85, 240451.0)	(90, 328268.0)	(95, 347534.0)	(100, 571425.0)	(105, 502935.0)	(110, 1047315.0)	(115, 1455721.0)	(120, 3137013.0)	(125, 135821591.0)	(130, 106910631.0)
BACW_56_1	(150, 289829482.0)																						
BACW_56_1_val_1	(20, 6481.0)	(25, 9992.0)	(30, 14693.0)	(35, 22409.0)	(40, 33892.0)	(45, 42002.0)	(50, 53764.0)	(55, 72240.0)	(60, 101633.0)	(65, 97333.0)	(70, 176378.0)	(75, 160779.0)	(80, 254782.0)	(85, 260373.0)	(90, 368637.0)	(95, 376431.0)	(100, 706140.0)	(105, 597538.0)	(110, 1462970.0)	(115, 1970020.0)	(120, 4007643.0)	(125, 116206847.0)	(130, 162714566.0)
BACW_56_2	(150, 289829482.0)																						
BACW_56_2_val_2	(20, 23102.0)	(25, 28026.0)	(30, 35771.0)	(35, 47113.0)	(40, 60808.0)	(45, 74064.0)	(50, 92752.0)	(55, 117299.0)	(60, 146931.0)	(65, 148661.0)	(70, 234902.0)	(75, 223687.0)	(80, 325861.0)	(85, 329271.0)	(90, 445282.0)	(95, 474330.0)	(100, 810644.0)	(105, 713683.0)	(110, 1613417.0)	(115, 2228592.0)	(120, 4645513.0)	(125, 156211081.0)	(130, 120686753.0)
BACW_57_1	(150, 217871798.0)																						
