Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
BACW_45_2	(11.0, 82.0)	(12.0, 807.0)	(13.0, 2958.0)	(14.0, 7380.0)	(15.0, 14927.0)	(16.0, 25302.0)	(17.0, 39731.0)	(18.0, 57900.0)	(19.0, 80142.0)	(20.0, 113891.0)	(21.0, 167555.0)	(22.0, 266574.0)	(23.0, 436878.0)	(24.0, 697042.0)	(25.0, 1060506.0)	(26.0, 1545515.0)	(27.0, 2168270.0)	(28.0, 2952483.0)	(29.0, 3975458.0)	(30.0, 5335361.0)	(31.0, 7278713.0)	(32.0, 10355830.0)	(33.0, 15697386.0)	(34.0, 26659675.0)	(35.0, 56129428.0)	(36.0, 101710452.0)	(37.0, 2449798.0)
BACW_45_2_val_2	(11.0, 128.0)	(12.0, 755.0)	(13.0, 2585.0)	(14.0, 6701.0)	(15.0, 13183.0)	(16.0, 22333.0)	(17.0, 33691.0)	(18.0, 46134.0)	(19.0, 63312.0)	(20.0, 88770.0)	(21.0, 136801.0)	(22.0, 227276.0)	(23.0, 391304.0)	(24.0, 633769.0)	(25.0, 983932.0)	(26.0, 1428014.0)	(27.0, 2022740.0)	(28.0, 2744456.0)	(29.0, 3741378.0)	(30.0, 5007595.0)	(31.0, 6916946.0)	(32.0, 9729832.0)	(33.0, 14857122.0)	(34.0, 25326866.0)	(35.0, 54191120.0)	(36.0, 105764963.0)	(37.0, 4750217.0)
BACW_47_1	(13.0, 1.0)	(14.0, 26.0)	(15.0, 113.0)	(16.0, 455.0)	(17.0, 1428.0)	(18.0, 3665.0)	(19.0, 8706.0)	(20.0, 19492.0)	(21.0, 42180.0)	(22.0, 86628.0)	(23.0, 174408.0)	(24.0, 330798.0)	(25.0, 588728.0)	(26.0, 965452.0)	(27.0, 1481172.0)	(28.0, 2173647.0)	(29.0, 3092116.0)	(30.0, 4297258.0)	(31.0, 5884725.0)	(32.0, 8141045.0)	(33.0, 11776047.0)	(34.0, 19256583.0)	(35.0, 42436904.0)	(36.0, 124396372.0)	(37.0, 4016450.0)		
BACW_47_1_val_1	(13.0, 9.0)	(14.0, 31.0)	(15.0, 133.0)	(16.0, 535.0)	(17.0, 1557.0)	(18.0, 4148.0)	(19.0, 10405.0)	(20.0, 23018.0)	(21.0, 50197.0)	(22.0, 103126.0)	(23.0, 201934.0)	(24.0, 364521.0)	(25.0, 618348.0)	(26.0, 961215.0)	(27.0, 1445414.0)	(28.0, 2075433.0)	(29.0, 2949713.0)	(30.0, 4053148.0)	(31.0, 5582762.0)	(32.0, 7665637.0)	(33.0, 11216491.0)	(34.0, 18503072.0)	(35.0, 41171688.0)	(36.0, 124615392.0)	(37.0, 7449373.0)		
BACW_47_2	(11.0, 61.0)	(12.0, 1090.0)	(13.0, 4343.0)	(14.0, 9938.0)	(15.0, 18043.0)	(16.0, 29766.0)	(17.0, 45089.0)	(18.0, 65447.0)	(19.0, 89868.0)	(20.0, 124709.0)	(21.0, 182661.0)	(22.0, 288536.0)	(23.0, 465526.0)	(24.0, 737970.0)	(25.0, 1119274.0)	(26.0, 1630462.0)	(27.0, 2287663.0)	(28.0, 3123650.0)	(29.0, 4212610.0)	(30.0, 5671518.0)	(31.0, 7783675.0)	(32.0, 11141782.0)	(33.0, 16940863.0)	(34.0, 28473493.0)	(35.0, 56627024.0)	(36.0, 86332440.0)	(37.0, 1766898.0)
BACW_47_2_val_2	(11.0, 213.0)	(12.0, 1252.0)	(13.0, 3540.0)	(14.0, 7685.0)	(15.0, 14979.0)	(16.0, 25325.0)	(17.0, 38014.0)	(18.0, 52495.0)	(19.0, 70696.0)	(20.0, 98102.0)	(21.0, 149650.0)	(22.0, 245167.0)	(23.0, 415533.0)	(24.0, 667941.0)	(25.0, 1033769.0)	(26.0, 1501327.0)	(27.0, 2132374.0)	(28.0, 2903877.0)	(29.0, 3971312.0)	(30.0, 5333098.0)	(31.0, 7400189.0)	(32.0, 10454659.0)	(33.0, 16038330.0)	(34.0, 27148483.0)	(35.0, 55049398.0)	(36.0, 90797909.0)	(37.0, 3511983.0)
BACW_48_1	(13.0, 6.0)	(14.0, 13.0)	(15.0, 92.0)	(16.0, 402.0)	(17.0, 1042.0)	(18.0, 2720.0)	(19.0, 7141.0)	(20.0, 17748.0)	(21.0, 43086.0)	(22.0, 97253.0)	(23.0, 204686.0)	(24.0, 398454.0)	(25.0, 710334.0)	(26.0, 1156138.0)	(27.0, 1745923.0)	(28.0, 2519146.0)	(29.0, 3539483.0)	(30.0, 4883565.0)	(31.0, 6699529.0)	(32.0, 9388934.0)	(33.0, 13661954.0)	(34.0, 22112226.0)	(35.0, 48244026.0)	(36.0, 136694440.0)	(37.0, 4161023.0)		
BACW_48_1_val_1	(13.0, 6.0)	(14.0, 25.0)	(15.0, 123.0)	(16.0, 427.0)	(17.0, 1182.0)	(18.0, 3413.0)	(19.0, 9197.0)	(20.0, 23355.0)	(21.0, 54880.0)	(22.0, 118218.0)	(23.0, 237471.0)	(24.0, 432022.0)	(25.0, 731494.0)	(26.0, 1131288.0)	(27.0, 1680888.0)	(28.0, 2381365.0)	(29.0, 3344465.0)	(30.0, 4573275.0)	(31.0, 6301734.0)	(32.0, 8681263.0)	(33.0, 12761089.0)	(34.0, 21116822.0)	(35.0, 46777921.0)	(36.0, 137540873.0)	(37.0, 8267798.0)		
BACW_48_2	(11.0, 51.0)	(12.0, 842.0)	(13.0, 3751.0)	(14.0, 9494.0)	(15.0, 20274.0)	(16.0, 37554.0)	(17.0, 60949.0)	(18.0, 89101.0)	(19.0, 122898.0)	(20.0, 171403.0)	(21.0, 253712.0)	(22.0, 404391.0)	(23.0, 654465.0)	(24.0, 1017849.0)	(25.0, 1505739.0)	(26.0, 2122763.0)	(27.0, 2904118.0)	(28.0, 3879314.0)	(29.0, 5161423.0)	(30.0, 6884917.0)	(31.0, 9376704.0)	(32.0, 13347423.0)	(33.0, 20104394.0)	(34.0, 33230396.0)	(35.0, 63643435.0)	(36.0, 89530693.0)	(37.0, 1751311.0)
BACW_48_2_val_2	(11.0, 170.0)	(12.0, 1063.0)	(13.0, 3368.0)	(14.0, 8375.0)	(15.0, 18212.0)	(16.0, 32929.0)	(17.0, 51120.0)	(18.0, 70717.0)	(19.0, 94625.0)	(20.0, 134099.0)	(21.0, 208353.0)	(22.0, 343098.0)	(23.0, 581159.0)	(24.0, 916155.0)	(25.0, 1382169.0)	(26.0, 1948251.0)	(27.0, 2697234.0)	(28.0, 3606944.0)	(29.0, 4864742.0)	(30.0, 6475143.0)	(31.0, 8922755.0)	(32.0, 12527397.0)	(33.0, 19053999.0)	(34.0, 31732639.0)	(35.0, 61930424.0)	(36.0, 94730771.0)	(37.0, 3834683.0)
