Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
BACW_57_1	(13.0, 6.0)	(14.0, 15.0)	(15.0, 65.0)	(16.0, 286.0)	(17.0, 818.0)	(18.0, 2087.0)	(19.0, 5486.0)	(20.0, 13572.0)	(21.0, 33345.0)	(22.0, 74646.0)	(23.0, 159814.0)	(24.0, 310141.0)	(25.0, 555858.0)	(26.0, 913083.0)	(27.0, 1403086.0)	(28.0, 2059094.0)	(29.0, 2930396.0)	(30.0, 4065883.0)	(31.0, 5558081.0)	(32.0, 7678173.0)	(33.0, 11075724.0)	(34.0, 18085782.0)	(35.0, 40113939.0)	(36.0, 119044910.0)	(37.0, 3787508.0)		
BACW_57_1_val_1	(12.0, 1.0)	(13.0, 1.0)	(14.0, 18.0)	(15.0, 91.0)	(16.0, 330.0)	(17.0, 951.0)	(18.0, 2673.0)	(19.0, 7126.0)	(20.0, 18329.0)	(21.0, 43198.0)	(22.0, 93517.0)	(23.0, 187672.0)	(24.0, 340860.0)	(25.0, 579330.0)	(26.0, 904328.0)	(27.0, 1360170.0)	(28.0, 1959548.0)	(29.0, 2783537.0)	(30.0, 3827615.0)	(31.0, 5265343.0)	(32.0, 7225320.0)	(33.0, 10549031.0)	(34.0, 17384237.0)	(35.0, 38839833.0)	(36.0, 119181637.0)	(37.0, 7212033.0)	
BACW_57_2	(11.0, 37.0)	(12.0, 540.0)	(13.0, 2200.0)	(14.0, 6315.0)	(15.0, 15103.0)	(16.0, 30295.0)	(17.0, 50324.0)	(18.0, 75187.0)	(19.0, 105724.0)	(20.0, 146977.0)	(21.0, 213034.0)	(22.0, 326781.0)	(23.0, 513555.0)	(24.0, 793220.0)	(25.0, 1187195.0)	(26.0, 1707666.0)	(27.0, 2370907.0)	(28.0, 3204114.0)	(29.0, 4293460.0)	(30.0, 5757760.0)	(31.0, 7864189.0)	(32.0, 11205895.0)	(33.0, 16908413.0)	(34.0, 27955669.0)	(35.0, 53591371.0)	(36.0, 77968449.0)	(37.0, 1577418.0)
BACW_57_2_val_2	(11.0, 80.0)	(12.0, 554.0)	(13.0, 2068.0)	(14.0, 6123.0)	(15.0, 14269.0)	(16.0, 26500.0)	(17.0, 43045.0)	(18.0, 59940.0)	(19.0, 81170.0)	(20.0, 113143.0)	(21.0, 168974.0)	(22.0, 268982.0)	(23.0, 443951.0)	(24.0, 697633.0)	(25.0, 1070206.0)	(26.0, 1542840.0)	(27.0, 2180999.0)	(28.0, 2959260.0)	(29.0, 4039870.0)	(30.0, 5422056.0)	(31.0, 7510691.0)	(32.0, 10570257.0)	(33.0, 16114293.0)	(34.0, 26851989.0)	(35.0, 52416293.0)	(36.0, 81918030.0)	(37.0, 3243513.0)
BACW_58_1	(13.0, 1.0)	(14.0, 24.0)	(15.0, 115.0)	(16.0, 422.0)	(17.0, 1403.0)	(18.0, 3221.0)	(19.0, 7701.0)	(20.0, 17744.0)	(21.0, 39799.0)	(22.0, 85604.0)	(23.0, 176416.0)	(24.0, 340071.0)	(25.0, 609156.0)	(26.0, 1002675.0)	(27.0, 1538783.0)	(28.0, 2236946.0)	(29.0, 3151460.0)	(30.0, 4340317.0)	(31.0, 5919281.0)	(32.0, 8176573.0)	(33.0, 11796515.0)	(34.0, 19197437.0)	(35.0, 42254397.0)	(36.0, 128893354.0)	(37.0, 4428345.0)		
BACW_58_1_val_1	(12.0, 1.0)	(13.0, 4.0)	(14.0, 26.0)	(15.0, 144.0)	(16.0, 531.0)	(17.0, 1386.0)	(18.0, 3701.0)	(19.0, 9203.0)	(20.0, 22025.0)	(21.0, 49481.0)	(22.0, 103590.0)	(23.0, 205050.0)	(24.0, 372630.0)	(25.0, 635376.0)	(26.0, 994085.0)	(27.0, 1493254.0)	(28.0, 2131727.0)	(29.0, 2996792.0)	(30.0, 4087495.0)	(31.0, 5605045.0)	(32.0, 7686087.0)	(33.0, 11220690.0)	(34.0, 18422596.0)	(35.0, 40866540.0)	(36.0, 128846681.0)	(37.0, 8377665.0)	
BACW_58_2	(11.0, 36.0)	(12.0, 480.0)	(13.0, 2022.0)	(14.0, 5083.0)	(15.0, 11231.0)	(16.0, 21005.0)	(17.0, 35650.0)	(18.0, 55279.0)	(19.0, 80419.0)	(20.0, 116385.0)	(21.0, 175536.0)	(22.0, 281312.0)	(23.0, 457813.0)	(24.0, 719155.0)	(25.0, 1075898.0)	(26.0, 1537658.0)	(27.0, 2134068.0)	(28.0, 2892342.0)	(29.0, 3881194.0)	(30.0, 5212176.0)	(31.0, 7121376.0)	(32.0, 10136727.0)	(33.0, 15372496.0)	(34.0, 26031158.0)	(35.0, 54447590.0)	(36.0, 99869199.0)	(37.0, 2544472.0)
BACW_58_2_val_2	(11.0, 96.0)	(12.0, 586.0)	(13.0, 2021.0)	(14.0, 4947.0)	(15.0, 10599.0)	(16.0, 19307.0)	(17.0, 31211.0)	(18.0, 45247.0)	(19.0, 63579.0)	(20.0, 90761.0)	(21.0, 142372.0)	(22.0, 236579.0)	(23.0, 403733.0)	(24.0, 645930.0)	(25.0, 987261.0)	(26.0, 1408133.0)	(27.0, 1977995.0)	(28.0, 2672370.0)	(29.0, 3637397.0)	(30.0, 4871995.0)	(31.0, 6747463.0)	(32.0, 9491073.0)	(33.0, 14495311.0)	(34.0, 24639840.0)	(35.0, 52390974.0)	(36.0, 104048787.0)	(37.0, 5066238.0)
BACW_59_1	(13.0, 1.0)	(14.0, 16.0)	(15.0, 111.0)	(16.0, 445.0)	(17.0, 1283.0)	(18.0, 3310.0)	(19.0, 7718.0)	(20.0, 17022.0)	(21.0, 37553.0)	(22.0, 79540.0)	(23.0, 163990.0)	(24.0, 315089.0)	(25.0, 556524.0)	(26.0, 905549.0)	(27.0, 1386393.0)	(28.0, 2036050.0)	(29.0, 2901899.0)	(30.0, 4037440.0)	(31.0, 5541256.0)	(32.0, 7686169.0)	(33.0, 11137872.0)	(34.0, 18220966.0)	(35.0, 40357226.0)	(36.0, 121511831.0)	(37.0, 3976628.0)		
BACW_59_1_val_1	(13.0, 4.0)	(14.0, 29.0)	(15.0, 133.0)	(16.0, 471.0)	(17.0, 1490.0)	(18.0, 3617.0)	(19.0, 8974.0)	(20.0, 20734.0)	(21.0, 46390.0)	(22.0, 96974.0)	(23.0, 191998.0)	(24.0, 345023.0)	(25.0, 579335.0)	(26.0, 896692.0)	(27.0, 1346894.0)	(28.0, 1938068.0)	(29.0, 2758202.0)	(30.0, 3807891.0)	(31.0, 5253550.0)	(32.0, 7242886.0)	(33.0, 10623111.0)	(34.0, 17548872.0)	(35.0, 39160660.0)	(36.0, 121504113.0)	(37.0, 7412390.0)		
BACW_59_2	(11.0, 49.0)	(12.0, 641.0)	(13.0, 2446.0)	(14.0, 6184.0)	(15.0, 13480.0)	(16.0, 25698.0)	(17.0, 43484.0)	(18.0, 65593.0)	(19.0, 92648.0)	(20.0, 130081.0)	(21.0, 187283.0)	(22.0, 287918.0)	(23.0, 455424.0)	(24.0, 711337.0)	(25.0, 1077192.0)	(26.0, 1566189.0)	(27.0, 2198844.0)	(28.0, 3001606.0)	(29.0, 4035127.0)	(30.0, 5419578.0)	(31.0, 7387744.0)	(32.0, 10516483.0)	(33.0, 15890076.0)	(34.0, 26588605.0)	(35.0, 53296155.0)	(36.0, 85954805.0)	(37.0, 1927211.0)
BACW_59_2_val_2	(11.0, 121.0)	(12.0, 722.0)	(13.0, 2257.0)	(14.0, 5762.0)	(15.0, 12692.0)	(16.0, 23612.0)	(17.0, 36992.0)	(18.0, 52871.0)	(19.0, 72161.0)	(20.0, 99731.0)	(21.0, 149757.0)	(22.0, 238357.0)	(23.0, 396776.0)	(24.0, 634752.0)	(25.0, 984178.0)	(26.0, 1432131.0)	(27.0, 2040002.0)	(28.0, 2786056.0)	(29.0, 3803692.0)	(30.0, 5097577.0)	(31.0, 7040807.0)	(32.0, 9902324.0)	(33.0, 15094846.0)	(34.0, 25414264.0)	(35.0, 51826171.0)	(36.0, 89840747.0)	(37.0, 3799143.0)
BACW_64_1	(12.0, 1.0)	(13.0, 3.0)	(14.0, 13.0)	(15.0, 108.0)	(16.0, 514.0)	(17.0, 1634.0)	(18.0, 4313.0)	(19.0, 9828.0)	(20.0, 21754.0)	(21.0, 45025.0)	(22.0, 92596.0)	(23.0, 186968.0)	(24.0, 359384.0)	(25.0, 640819.0)	(26.0, 1057835.0)	(27.0, 1631093.0)	(28.0, 2403718.0)	(29.0, 3428602.0)	(30.0, 4769549.0)	(31.0, 6531882.0)	(32.0, 9047896.0)	(33.0, 13057505.0)	(34.0, 21300102.0)	(35.0, 46710316.0)	(36.0, 134931012.0)	(37.0, 4403572.0)	
BACW_64_1_val_1	(13.0, 2.0)	(14.0, 29.0)	(15.0, 155.0)	(16.0, 622.0)	(17.0, 1887.0)	(18.0, 4760.0)	(19.0, 11388.0)	(20.0, 24810.0)	(21.0, 53624.0)	(22.0, 110417.0)	(23.0, 217578.0)	(24.0, 394216.0)	(25.0, 670785.0)	(26.0, 1048464.0)	(27.0, 1588043.0)	(28.0, 2299000.0)	(29.0, 3271513.0)	(30.0, 4509164.0)	(31.0, 6212723.0)	(32.0, 8548179.0)	(33.0, 12495675.0)	(34.0, 20595623.0)	(35.0, 45482205.0)	(36.0, 134887941.0)	(37.0, 8112084.0)		
BACW_64_2	(11.0, 34.0)	(12.0, 445.0)	(13.0, 1834.0)	(14.0, 5346.0)	(15.0, 13345.0)	(16.0, 27808.0)	(17.0, 48727.0)	(18.0, 75437.0)	(19.0, 103621.0)	(20.0, 139699.0)	(21.0, 194656.0)	(22.0, 292007.0)	(23.0, 454127.0)	(24.0, 701059.0)	(25.0, 1050609.0)	(26.0, 1530539.0)	(27.0, 2172952.0)	(28.0, 3008628.0)	(29.0, 4108218.0)	(30.0, 5595264.0)	(31.0, 7728745.0)	(32.0, 11088353.0)	(33.0, 16887410.0)	(34.0, 28668177.0)	(35.0, 59626259.0)	(36.0, 104748581.0)	(37.0, 2364162.0)
BACW_64_2_val_2	(11.0, 57.0)	(12.0, 551.0)	(13.0, 2011.0)	(14.0, 5958.0)	(15.0, 14346.0)	(16.0, 27239.0)	(17.0, 45343.0)	(18.0, 62151.0)	(19.0, 80792.0)	(20.0, 106529.0)	(21.0, 154928.0)	(22.0, 241940.0)	(23.0, 396874.0)	(24.0, 628054.0)	(25.0, 965574.0)	(26.0, 1409192.0)	(27.0, 2022735.0)	(28.0, 2794781.0)	(29.0, 3871571.0)	(30.0, 5266046.0)	(31.0, 7362757.0)	(32.0, 10438212.0)	(33.0, 16055704.0)	(34.0, 27389848.0)	(35.0, 57741053.0)	(36.0, 108757974.0)	(37.0, 4698667.0)
