Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BACW_47_1	(1.0, 71.96641329818077)	(2.0, 16.31640080984134)	(3.0, 4.057353365426754)	(4.0, 1.2469440011584518)	(5.0, 0.48231843669363395)	(6.0, 0.30963542280194073)	(7.0, 0.25376099363654553)	(8.0, 0.16488353515766552)	(9.0, 0.16991998299546002)	('>10', 2.1880330647592516)	('>50', 0.858197601639199)	('>100', 1.543124934167924)	('>500', 0.25900321481771793)	('>1k', 0.13984565151343867)	('>5k', 0.003218981702160589)	('>10k+', 0.04094670550782718)
BACW_47_1_val_1	(1.0, 71.73282015541425)	(2.0, 16.364166594505562)	(3.0, 4.175078598201262)	(4.0, 1.2316590551685924)	(5.0, 0.5131458488109522)	(6.0, 0.29657633823783125)	(7.0, 0.2287272308948377)	(8.0, 0.2058031143880955)	(9.0, 0.15588762658904218)	('>10', 2.1790808209577506)	('>50', 0.8674291529527235)	('>100', 1.5672134631301964)	('>500', 0.27594152069425976)	('>1k', 0.13999129225325865)	('>5k', 0.002851897398149909)	('>10k+', 0.0636272904031838)
BACW_47_2	(1.0, 72.41155077694891)	(2.0, 15.826485765178145)	(3.0, 4.030632560784034)	(4.0, 1.19051385382752)	(5.0, 0.5180402756997255)	(6.0, 0.333460797776746)	(7.0, 0.24366339242221732)	(8.0, 0.18478823719868606)	(9.0, 0.17384170323410075)	('>10', 2.2720811300629773)	('>50', 0.876165537025893)	('>100', 1.4166153560348247)	('>500', 0.275594735456096)	('>1k', 0.16511964400678064)	('>5k', 0.006807261571011001)	('>10k+', 0.07463897277230694)
BACW_47_2_val_2	(1.0, 73.33653296784532)	(2.0, 15.34218857964329)	(3.0, 3.830712861876689)	(4.0, 1.125242985274165)	(5.0, 0.47893917954983145)	(6.0, 0.3063934028122241)	(7.0, 0.22760289377031068)	(8.0, 0.20169549211768084)	(9.0, 0.15779883457013286)	('>10', 2.1930646495300854)	('>50', 0.8526984218255638)	('>100', 1.3681807645182245)	('>500', 0.285084572660461)	('>1k', 0.1717959994445001)	('>5k', 0.006005235190922683)	('>10k+', 0.11606315937057053)
BACW_48_1	(1.0, 71.10156579606351)	(2.0, 16.586652027511086)	(3.0, 4.351801106481414)	(4.0, 1.2842592258310908)	(5.0, 0.5319760989829897)	(6.0, 0.3324297650150024)	(7.0, 0.22466164710331374)	(8.0, 0.1627888930142261)	(9.0, 0.13884898344133928)	('>10', 2.16345200709624)	('>50', 0.8766780240718065)	('>100', 1.6213434964002085)	('>500', 0.31078375149221915)	('>1k', 0.2490804888060396)	('>5k', 0.013780276713376154)	('>10k+', 0.049898411975977996)
BACW_48_1_val_1	(1.0, 71.15875430732342)	(2.0, 16.505232094528143)	(3.0, 4.352842714550223)	(4.0, 1.2999405099367158)	(5.0, 0.5408404577909692)	(6.0, 0.3163879715533001)	(7.0, 0.24857122888231992)	(8.0, 0.1787291324512959)	(9.0, 0.16378606993418254)	('>10', 2.1741893046798917)	('>50', 0.8613153044011385)	('>100', 1.563425454823221)	('>500', 0.28872147208763527)	('>1k', 0.2554728191930302)	('>5k', 0.0203755889114155)	('>10k+', 0.0714155689529583)
BACW_48_2	(1.0, 72.52262904852984)	(2.0, 15.552992032245108)	(3.0, 4.013482640172141)	(4.0, 1.1951179463130615)	(5.0, 0.5128703539387616)	(6.0, 0.33932348155458275)	(7.0, 0.23458129194788477)	(8.0, 0.19868683693161707)	(9.0, 0.14779789086860218)	('>10', 2.210759026806776)	('>50', 0.8895527465080242)	('>100', 1.513802313993624)	('>500', 0.33436101323799705)	('>1k', 0.23047459005900603)	('>5k', 0.02371746861106463)	('>10k+', 0.07985131828175761)
BACW_48_2_val_2	(1.0, 73.54436735889308)	(2.0, 14.910703084659923)	(3.0, 3.86355089332635)	(4.0, 1.1787528021036484)	(5.0, 0.5296513790680502)	(6.0, 0.3232443294739169)	(7.0, 0.24148579153720826)	(8.0, 0.16867597435278708)	(9.0, 0.15373669604543946)	('>10', 2.1381449882789934)	('>50', 0.8306338990453431)	('>100', 1.4171421351178473)	('>500', 0.32428202861150085)	('>1k', 0.23378285888189998)	('>5k', 0.01941254633901725)	('>10k+', 0.12243323426501676)
BACW_50_1	(1.0, 66.30703335588188)	(2.0, 19.164630134044007)	(3.0, 6.211074999790829)	(4.0, 1.9886564049380124)	(5.0, 0.7579065033481899)	(6.0, 0.39951885408770804)	(7.0, 0.2507577888252006)	(8.0, 0.1748727632757848)	(9.0, 0.13693299172715612)	('>10', 1.9450657557618514)	('>50', 0.8218516947539898)	('>100', 1.3950215426636587)	('>500', 0.23942218222467848)	('>1k', 0.15535703620156677)	('>5k', 0.0)	('>10k+', 0.05189799247539972)
BACW_50_1_val_1	(1.0, 66.09736121943244)	(2.0, 19.20031662779546)	(3.0, 6.253941652289758)	(4.0, 2.0142758193112247)	(5.0, 0.7757511620173763)	(6.0, 0.3954578786628399)	(7.0, 0.25670941200748976)	(8.0, 0.19882242155675908)	(9.0, 0.15489863348532412)	('>10', 1.9899191505113145)	('>50', 0.7853053639494956)	('>100', 1.4111240171277357)	('>500', 0.2653783898553525)	('>1k', 0.1264101723599274)	('>5k', 0.006201980277083325)	('>10k+', 0.06812609936026817)
