Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
BACW_47_2 - polya	(1, 0.45372869069899907)	(2, 0.6557386019369467)	(3, 0.7811697152088964)	(4, 0.9281001757966866)	(5, 1.0760468930039606)	(6, 1.176758840327536)	(7, 1.2690008188916424)	(8, 1.3627578008833352)	(9, 1.462892894943296)	(10, 1.6264259953399072)	(12, 1.838846318955548)	(14, 2.0325228386439447)	(16, 2.2208030313193925)	(18, 2.409359869205984)	(20, 2.602130310375549)	(22, 2.7894889341457376)	(24, 2.976604729745577)	(26, 3.1779151736752236)	(28, 3.377337317681806)	(30, 3.591331551828352)	(32, 3.7889651016386)	(34, 3.9878245737212556)	(36, 4.179583339934929)	(38, 4.36580352938986)	(40, 4.557386010642489)	(42, 4.749026744475067)	(44, 4.9411751702684725)	(46, 5.128583101465884)	(48, 5.30106789982244)	(50, 5.470446984787337)	(52, 5.641607246017038)	(54, 5.817091070455911)	(56, 5.990207920213637)	(58, 6.150560037031012)	(60, 6.320083553486269)	(62, 6.500405614677755)	(64, 6.675573740677727)	(66, 6.850134250815685)	(68, 7.026142130299641)	(70, 7.2058116316910255)	(72, 7.3844960754102384)	(74, 7.561788784269922)	(76, 7.745186232603581)	(78, 7.924057651832219)	(80, 8.098635179577801)	(82, 8.268385161119152)	(84, 8.44835268881844)	(86, 8.635379905588843)	(88, 8.800159873005711)	(90, 8.96022007239997)	(92, 9.126789070362086)	(94, 9.3030967215496)	(96, 9.469943237420686)	(98, 9.638416680215665)	(100, 9.80687354175193)	(102, 9.973878015929692)	(104, 10.140821401259572)	(106, 10.306495011251235)	(108, 10.478025296359565)	(110, 10.644272268823535)	(112, 10.811119657392448)	(114, 10.971806890175372)	(116, 11.135478749526468)	(118, 11.304475592843161)	(120, 11.465841130012084)	(122, 11.621739651644074)	(124, 11.784726879549927)	(126, 11.96252182600902)	(128, 12.140496111871553)	(130, 12.308104056596653)	(132, 12.477938471652761)	(134, 12.653539237600445)	(136, 12.825238607912745)	(138, 12.994578639649886)
BACW_47_2 - polyg	(1, 0.04799183524857853)	(2, 0.051305468897509796)	(3, 0.05181817887084325)	(4, 0.05224231001474122)	(5, 0.052555608534616466)	(6, 0.052792545994633545)	(7, 0.053018138382900266)	(8, 0.05325813028531167)	(9, 0.05352386677361811)	(10, 0.05395956116372318)	(12, 0.054529869193635366)	(14, 0.05503516123543974)	(16, 0.05548547331414623)	(18, 0.05591833143631371)	(20, 0.0563640618514287)	(22, 0.056794956403485544)	(24, 0.05729370321158778)	(26, 0.057814703814277266)	(28, 0.05834683131426037)	(30, 0.058904921574595245)	(32, 0.059511664738782624)	(34, 0.06015353399050476)	(36, 0.06077205857535597)	(38, 0.06138054713519724)	(40, 0.06206408770815627)	(42, 0.0627181747294557)	(44, 0.06340302434915515)	(46, 0.06411012776344185)	(48, 0.06481439490979095)	(50, 0.0655926231969741)	(52, 0.06642888588964949)	(54, 0.06720711417683264)	(56, 0.06804686766081582)	(58, 0.06891236573069404)	(60, 0.06980229933972687)	(62, 0.0707247409428136)	(64, 0.07177983261559683)	(66, 0.07277448996386372)	(68, 0.0737650019974526)	(70, 0.07479980344575923)	(72, 0.0758442045701623)	(74, 0.0769490400190817)	(76, 0.0781053646397912)	(78, 0.07922678134742267)	(80, 0.08038463318932931)	(82, 0.0815461939970005)	(84, 0.08271844535305184)	(86, 0.08384422554981807)	(88, 0.08502236761620133)	(90, 0.08625025345872075)	(92, 0.0876439518883608)	(94, 0.08889867318905896)	(96, 0.0901300498228862)	(98, 0.09145982313670212)	(100, 0.0929761356110287)	(102, 0.09460306253492128)	(104, 0.09620402669846208)	(106, 0.09905796676704713)	(108, 0.10414906771501994)	(110, 0.10616521786973247)	(112, 0.1079175951062492)	(114, 0.1096368098253418)	(116, 0.11147580232118334)	(118, 0.11345224472476963)	(120, 0.11548846692950201)	(122, 0.11780700688125291)	(124, 0.12030270449187477)	(126, 0.12311868220498748)	(128, 0.12612447169546193)	(130, 0.12920094970991938)	(132, 0.13266708730411025)	(134, 0.13660229998028706)	(136, 0.14116869135980586)	(138, 0.14614415984570772)
BACW_47_2_val_2 - polya	(1, 0.6029459464532912)	(2, 0.7096521415322047)	(3, 0.8118954560515621)	(4, 0.9081431526891879)	(5, 1.0082163626148297)	(6, 1.1051887371091378)	(7, 1.2012653049998843)	(8, 1.300949109715791)	(9, 1.4006167619734462)	(10, 1.554188441562807)	(12, 1.7538775722244075)	(14, 1.9501369248251499)	(16, 2.158907229447416)	(18, 2.365357473545984)	(20, 2.5865717193156774)	(22, 2.7919371293938506)	(24, 2.9973090877659097)	(26, 3.195018450909405)	(28, 3.386665621849998)	(30, 3.5831484895487047)	(32, 3.7795892298900804)	(34, 3.976119463581227)	(36, 4.167662080096111)	(38, 4.3439727102035075)	(40, 4.5170910470416334)	(42, 4.691897097490562)	(44, 4.8709147922903)	(46, 5.047413358432216)	(48, 5.211008948025318)	(50, 5.383761671788161)	(52, 5.567206886360472)	(54, 5.745502740897544)	(56, 5.923150969169322)	(58, 6.102232618972677)	(60, 6.285075608783968)	(62, 6.466880039184991)	(64, 6.647256286689545)	(66, 6.833778544558738)	(68, 7.015882231990336)	(70, 7.193731929437331)	(72, 7.36646151589511)	(74, 7.5492209058211275)	(76, 7.738712378414553)	(78, 7.905639521660229)	(80, 8.067822644262188)	(82, 8.236439029053907)	(84, 8.414731391167575)	(86, 8.583476340795915)	(88, 8.753940872398637)	(90, 8.924365677685117)	(92, 9.093113464907475)	(94, 9.261564396140349)	(96, 9.428693663390629)	(98, 9.60151448940988)	(100, 9.768765773202897)	(102, 9.936312385050158)	(104, 10.097273377736586)	(106, 10.260396617064067)	(108, 10.428187698549728)	(110, 10.587668776817992)	(112, 10.740750644024704)	(114, 10.898931449403735)	(116, 11.066779282769737)	(118, 11.195019105738794)										
BACW_48_1 - illumina_universal_adapter	(1, 1.5607358563658536e-06)	(2, 3.5116556768231707e-06)	(3, 7.803679281829268e-06)	(4, 1.2095702886835367e-05)	(5, 2.185030198912195e-05)	(6, 2.614232559412805e-05)	(7, 3.0824533163225614e-05)	(8, 3.394600487595732e-05)	(9, 3.823802848096342e-05)	(10, 4.623679974483842e-05)	(12, 6.34048941648628e-05)	(14, 7.862206876442988e-05)	(16, 9.500979525627134e-05)	(18, 0.00011646991328130183)	(20, 0.000141051503019064)	(22, 0.0001697300243797866)	(24, 0.0002042613052018811)	(26, 0.0002465962653058049)	(28, 0.0002982956405479238)	(30, 0.0005448919058537287)	(32, 0.0036809955172388657)	(34, 0.0038099513173710945)	(36, 0.004005628575362964)	(38, 0.00432714016177433)	(40, 0.004868910595915326)	(42, 0.005562267500105857)	(44, 0.006532850110783372)	(46, 0.007916832631415793)	(48, 0.009998268987861703)	(50, 0.013599081700479774)	(52, 0.017781268519594128)	(54, 0.021969113006187802)	(56, 0.02678164201929191)	(58, 0.03304760629863672)	(60, 0.04222180675433726)	(62, 0.05298112956415936)	(64, 0.06350536653561636)	(66, 0.0740229703796838)	(68, 0.08501464774012238)	(70, 0.09920563851412889)	(72, 0.11408257269700822)	(74, 0.1277452543836349)	(76, 0.14197175189837374)	(78, 0.1574443019024387)	(80, 0.17926260880650513)	(82, 0.2044848806133055)	(84, 0.22224156754316188)	(86, 0.23844083518034714)	(88, 0.2562535135090507)	(90, 0.2813388307444549)	(92, 0.3195140396071996)	(94, 0.35233026681513013)	(96, 0.3765072357821294)	(98, 0.4026975540038408)	(100, 0.4381828346181389)	(102, 0.4839477068584087)	(104, 0.5317142228344677)	(106, 0.5742033056042076)	(108, 0.6176298053476772)	(110, 0.6716542868318172)	(112, 0.7420770297748291)	(114, 0.8072067321529581)	(116, 0.8665162554307171)	(118, 0.9321822656674899)	(120, 1.0144180232153528)	(122, 1.1377181067880757)	(124, 1.271834089845414)	(126, 1.3721556544968445)	(128, 1.4756234675427264)	(130, 1.6039737021626852)	(132, 1.7965349510173196)	(134, 2.0850118072008637)	(136, 2.3649887008186576)	(138, 2.6341110667393908)
BACW_48_1 - polya	(1, 0.017387767991807884)	(2, 0.04433114126421571)	(3, 0.06125576089064703)	(4, 0.0750694437713771)	(5, 0.10072872161795993)	(6, 0.11023633427097661)	(7, 0.12007638366139924)	(8, 0.12633415407749812)	(9, 0.13160007685687652)	(10, 0.14099999873580393)	(12, 0.15652873523069807)	(14, 0.17036056166575841)	(16, 0.1849034983753754)	(18, 0.19978940678942886)	(20, 0.2171198177385153)	(22, 0.23464610103757563)	(24, 0.25093374534262763)	(26, 0.27303571598858856)	(28, 0.2920564038701192)	(30, 0.3212267521175791)	(32, 0.3391375617132516)	(34, 0.3562919996945328)	(36, 0.3715472172305988)	(38, 0.38693061019886876)	(40, 0.40673946968786423)	(42, 0.42607854768409353)	(44, 0.44424453759228183)	(46, 0.46164420619499447)	(48, 0.47496372108520274)	(50, 0.4878883698037504)	(52, 0.5020988697759615)	(54, 0.520099226591393)	(56, 0.5392383353060255)	(58, 0.5534226929526423)	(60, 0.5692990833595419)	(62, 0.5899325966566447)	(64, 0.6061279624541891)	(66, 0.6212292524164209)	(68, 0.6354549695632317)	(70, 0.6511897231911661)	(72, 0.6672093111128872)	(74, 0.6810596712862419)	(76, 0.6974401793747477)	(78, 0.7126392104199845)	(80, 0.7286759664361258)	(82, 0.7440455078736705)	(84, 0.7639973697855054)	(86, 0.7909337197465596)	(88, 0.8080809393245051)	(90, 0.8230197176656929)	(92, 0.8401969814088734)	(94, 0.8646671736248874)	(96, 0.8839695743284922)	(98, 0.9031258511375446)	(100, 0.9215811624551068)	(102, 0.9406219448107882)	(104, 0.9600051135949598)	(106, 0.9784789586508162)	(108, 1.0007914335454045)	(110, 1.0216294032396913)	(112, 1.0437852192726969)	(114, 1.0622426766020614)	(116, 1.0822245826791312)	(118, 1.1043706441130348)	(120, 1.1227350425669635)	(122, 1.1385868513841253)	(124, 1.1569647111848154)	(126, 1.180123885281482)	(128, 1.2033638274587157)	(130, 1.2211967953535519)	(132, 1.2400635556612487)	(134, 1.261791339885646)	(136, 1.2824344126898688)	(138, 1.303210928409811)
BACW_48_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0051473068542945855)	(4, 0.006210558156443824)	(5, 0.006886356782250238)	(6, 0.007533671978677976)	(7, 0.008025693957397311)	(8, 0.008384273020397365)	(9, 0.008661693818866396)	(10, 0.00906007164620378)	(12, 0.009340418824403496)	(14, 0.009542924301766967)	(16, 0.009732163524351327)	(18, 0.009867362267909019)	(20, 0.010001780643538528)	(22, 0.010110251785555954)	(24, 0.010207992868560865)	(26, 0.01031978057427307)	(28, 0.010458490973507584)	(30, 0.010589592785442317)	(32, 0.010715232021879769)	(34, 0.010856478616880879)	(36, 0.011012162018553373)	(38, 0.011195353389694315)	(40, 0.011406052730303705)	(42, 0.01161753243884128)	(44, 0.011851252633332063)	(46, 0.012097458714673779)	(48, 0.012374489329178718)	(50, 0.012641570252599325)	(52, 0.01290318860052265)	(54, 0.013182365226830091)	(56, 0.01348456270701893)	(58, 0.013802172453789383)	(60, 0.014103784658032081)	(62, 0.014429588268048455)	(64, 0.014784070399425548)	(66, 0.01515337952143812)	(68, 0.015558000292200967)	(70, 0.01668231538473052)	(72, 0.01736240603414194)	(74, 0.01787549794692221)	(76, 0.01849120824225854)	(78, 0.01913345104715309)	(80, 0.019796178510162445)	(82, 0.020573229874650593)	(84, 0.02141193030546519)	(86, 0.022342128875859242)	(88, 0.02330198142752424)	(90, 0.024345138255522772)	(92, 0.025437653354978867)	(94, 0.02662127641005032)	(96, 0.027888203741455304)	(98, 0.029292085644256387)	(100, 0.03092324970614075)	(102, 0.03459917283184643)	(104, 0.03709693547797793)	(106, 0.03893821360452555)	(108, 0.040867478214975786)	(110, 0.0430858691428178)	(112, 0.045474965554949835)	(114, 0.04812021773950791)	(116, 0.05122744773755028)	(118, 0.05491136963451983)	(120, 0.05959240665172512)	(122, 0.06590207153504818)	(124, 0.07279623199658025)	(126, 0.08027020582875222)	(128, 0.08902066649944942)	(130, 0.09933166793453044)	(132, 0.11237668840600035)	(134, 0.12716719684083339)	(136, 0.1419949678442372)	(138, 0.15734812155529015)
BACW_48_1_val_1 - polya	(1, 0.0573449894096744)	(2, 0.06537713692462298)	(3, 0.07347447537245434)	(4, 0.07922454987163749)	(5, 0.08730432190042858)	(6, 0.09453505034227308)	(7, 0.10119779790181538)	(8, 0.10912571799712499)	(9, 0.11658363879189038)	(10, 0.1303024265150433)	(12, 0.14793598831253835)	(14, 0.1642778327632718)	(16, 0.18641874250406743)	(18, 0.2054704998654139)	(20, 0.23467018232389314)	(22, 0.2526082287180862)	(24, 0.2697844780732327)	(26, 0.28505652760441347)	(28, 0.3004611060081315)	(30, 0.32029125091539584)	(32, 0.3396392952112216)	(34, 0.35780707132997475)	(36, 0.3752103178556083)	(38, 0.38852898158951066)	(40, 0.40145610936124854)	(42, 0.41567222192567505)	(44, 0.43367955808386033)	(46, 0.45281055951332183)	(48, 0.4669921247869691)	(50, 0.4828641651195921)	(52, 0.5034834326066324)	(54, 0.5196634708197616)	(56, 0.5347493163091155)	(58, 0.548960939677565)	(60, 0.5646696123131134)	(62, 0.5806671549506577)	(64, 0.5944907556407508)	(66, 0.6108306482671466)	(68, 0.6260031547570991)	(70, 0.6420116276109349)	(72, 0.6573373523114054)	(74, 0.6772295652326121)	(76, 0.7040958416952416)	(78, 0.7211877722389948)	(80, 0.7360692617201801)	(82, 0.7531725128450926)	(84, 0.7775449433513044)	(86, 0.7967532370245431)	(88, 0.8158204137981582)	(90, 0.8341884470939704)	(92, 0.8531094322246838)	(94, 0.8723489550873275)	(96, 0.8906676072273931)	(98, 0.9128081266033212)	(100, 0.9334597943743692)	(102, 0.9553940059177908)	(104, 0.9735707604284979)	(106, 0.9931916697667492)	(108, 1.0149125469100486)	(110, 1.0328464944731321)	(112, 1.0482054001873453)	(114, 1.0657772843357658)	(116, 1.086988735326897)	(118, 1.1028834168218387)										
BACW_48_2 - illumina_universal_adapter	(1, 1.950919820457317e-06)	(2, 2.731287748640244e-06)	(3, 6.633127389554878e-06)	(4, 8.193863245920732e-06)	(5, 1.4436806671384147e-05)	(6, 1.716809442002439e-05)	(7, 2.1069934060939026e-05)	(8, 2.3020853881396342e-05)	(9, 2.6922693522310978e-05)	(10, 3.121471712731707e-05)	(12, 4.4285879924381094e-05)	(14, 5.833250263167379e-05)	(16, 7.335458524919512e-05)	(18, 9.208341552558537e-05)	(20, 0.00011100733778402134)	(22, 0.00013812512328837805)	(24, 0.00017129076023615245)	(26, 0.00021440608826825915)	(28, 0.00026747110738469817)	(30, 0.0005074342453009481)	(32, 0.00353272561088411)	(34, 0.0036620715949804298)	(36, 0.0038579439449543448)	(38, 0.0041827720950604885)	(40, 0.004721616149470799)	(42, 0.005419655261230427)	(44, 0.00638165382469793)	(46, 0.007755101378299881)	(48, 0.009804542649690292)	(50, 0.01335794801067125)	(52, 0.017478485763459152)	(54, 0.02160273026390592)	(56, 0.026306202859046463)	(58, 0.03241433772491628)	(60, 0.04135052596252102)	(62, 0.05183515926162273)	(64, 0.06208724291812593)	(66, 0.07231845173255025)	(68, 0.08303095246668138)	(70, 0.0968221997694762)	(72, 0.11127168741969332)	(74, 0.12456310906448696)	(76, 0.13828939073726057)	(78, 0.15324163042520952)	(80, 0.17442940004330418)	(82, 0.19882214074244609)	(84, 0.21593931615515655)	(86, 0.23154433361503055)	(88, 0.24875671391497933)	(90, 0.27293231723810435)	(92, 0.30954581478457294)	(94, 0.34095328279015125)	(96, 0.36408729002113405)	(98, 0.38925103423332075)	(100, 0.42313090292736455)	(102, 0.466646169522665)	(104, 0.5119830099543264)	(106, 0.5521567410811477)	(108, 0.593043728494328)	(110, 0.6439471284497004)	(112, 0.7102702084820032)	(114, 0.7716986257767606)	(116, 0.8275312197505005)	(118, 0.8894370271253238)	(120, 0.9664158361249826)	(122, 1.0812212246154702)	(124, 1.2059189471475686)	(126, 1.2986771858390502)	(128, 1.392975675728783)	(130, 1.5101924011173558)	(132, 1.6843084834374946)	(134, 1.9457549553246385)	(136, 2.1982332438891223)	(138, 2.439520080903552)
BACW_48_2 - polya	(1, 0.47476492235549816)	(2, 0.6739374482976984)	(3, 0.7987908542314694)	(4, 0.9478465910899057)	(5, 1.094210058596111)	(6, 1.196244725941885)	(7, 1.28894892415434)	(8, 1.3841986825485275)	(9, 1.4858189745244363)	(10, 1.6507288613038191)	(12, 1.864721354570141)	(14, 2.0606311622046087)	(16, 2.25050853066224)	(18, 2.43933103677295)	(20, 2.63217985120912)	(22, 2.8203370936610543)	(24, 3.0109203049097273)	(26, 3.2121332978921435)	(28, 3.4121501819326374)	(30, 3.6259120764761814)	(32, 3.824758798808366)	(34, 4.024033552949158)	(36, 4.216558514695132)	(38, 4.404308600180537)	(40, 4.5971408317982325)	(42, 4.789720419299179)	(44, 4.981831200767271)	(46, 5.170498803844236)	(48, 5.3433979023803735)	(50, 5.51354464323381)	(52, 5.685436481866645)	(54, 5.860857339362706)	(56, 6.03388675934285)	(58, 6.194800967237954)	(60, 6.365169137491012)	(62, 6.5448504136909875)	(64, 6.720770706661085)	(66, 6.896561653647086)	(68, 7.073109167339461)	(70, 7.25373390836461)	(72, 7.432889411672971)	(74, 7.611705259840591)	(76, 7.79590135468907)	(78, 7.97550869102785)	(80, 8.150967591460407)	(82, 8.321608500304366)	(84, 8.501946261023926)	(86, 8.689656547744994)	(88, 8.855053384111564)	(90, 9.015861852152398)	(92, 9.182890828040762)	(94, 9.35908678598149)	(96, 9.52626247104035)	(98, 9.695384198620118)	(100, 9.863613965657974)	(102, 10.030329038547226)	(104, 10.197934706334516)	(106, 10.363499907081591)	(108, 10.534623083305165)	(110, 10.699507998310846)	(112, 10.864971361043292)	(114, 11.024591523821488)	(116, 11.187301943595287)	(118, 11.354868592986168)	(120, 11.514944685726405)	(122, 11.669948972209397)	(124, 11.830433392468054)	(126, 12.004198699404474)	(128, 12.178065259079577)	(130, 12.341652617312672)	(132, 12.507469291624602)	(134, 12.6786193905417)	(136, 12.84598450991513)	(138, 13.009871334340662)
BACW_48_2 - polyg	(1, 0.04114841066912164)	(2, 0.04294910966340375)	(3, 0.04318478077771499)	(4, 0.043426694835451696)	(5, 0.043607350010826045)	(6, 0.043757180653037166)	(7, 0.04390232908767919)	(8, 0.0440665965365617)	(9, 0.04424061858454649)	(10, 0.044543401340681466)	(12, 0.04496733621766684)	(14, 0.045345034294907376)	(16, 0.04570400354187153)	(18, 0.046070581376135455)	(20, 0.046437159210399384)	(22, 0.04680471250457355)	(24, 0.04724581547597894)	(26, 0.04773998346650078)	(28, 0.04823883366459171)	(30, 0.048747438461784934)	(32, 0.049302670242687086)	(34, 0.049893408764321565)	(36, 0.05053350555741361)	(38, 0.05113380358616833)	(40, 0.05175126970934307)	(42, 0.05238024625945851)	(44, 0.05308608905049997)	(46, 0.05383290115777103)	(48, 0.054535817569081796)	(50, 0.05533471923555907)	(52, 0.05618005279376323)	(54, 0.05701758267268555)	(56, 0.05789354567207089)	(58, 0.05875156020910802)	(60, 0.05965190970624906)	(62, 0.06056552545816923)	(64, 0.06167715957186581)	(66, 0.06272733971121798)	(68, 0.06373557507443031)	(70, 0.0648446729923603)	(72, 0.06597347520047692)	(74, 0.06710871544400102)	(76, 0.06827185384095769)	(78, 0.06947127934657484)	(80, 0.07071908766373933)	(82, 0.07197352910829338)	(84, 0.0731868061446358)	(86, 0.07436457644024588)	(88, 0.07558585224785216)	(90, 0.0769212568649552)	(92, 0.07834757434569153)	(94, 0.07966951761603341)	(96, 0.08099497254205212)	(98, 0.08242460658648323)	(100, 0.08405635592431374)	(102, 0.0857860414371312)	(104, 0.08748802388849816)	(106, 0.0900064662847265)	(108, 0.0938261722011999)	(110, 0.09584849568708595)	(112, 0.09784018973179082)	(114, 0.09991479786886513)	(116, 0.10227619121954667)	(118, 0.10491500536869725)	(120, 0.10782616792478364)	(122, 0.11133080029025316)	(124, 0.1157176385985335)	(126, 0.12153762260692176)	(128, 0.1279052298089124)	(130, 0.13437877195715386)	(132, 0.14174271391145205)	(134, 0.1508515585531673)	(136, 0.16278767619868922)	(138, 0.17595833590659657)
BACW_48_2_val_2 - polya	(1, 0.6126999104354656)	(2, 0.719963978379189)	(3, 0.8234173044857755)	(4, 0.9210639531873827)	(5, 1.0223601230358235)	(6, 1.1205400101465197)	(7, 1.2172755472472379)	(8, 1.3175708215752509)	(9, 1.4175132060629878)	(10, 1.5718736241834221)	(12, 1.7733852387444595)	(14, 1.973834280135994)	(16, 2.1830171498919193)	(18, 2.390638364995164)	(20, 2.6120876699844793)	(22, 2.8190335538668423)	(24, 3.025228375744017)	(26, 3.2241811485981877)	(28, 3.417769527442326)	(30, 3.615789913810326)	(32, 3.8132573483434244)	(34, 4.009950689344149)	(36, 4.203035692691566)	(38, 4.3799455373867)	(40, 4.553935257690037)	(42, 4.72957251291692)	(44, 4.9086609839379145)	(46, 5.085102000427106)	(48, 5.24929219627761)	(50, 5.422939761774531)	(52, 5.605841707186736)	(54, 5.784932130032068)	(56, 5.96373758652408)	(58, 6.1433895492314)	(60, 6.3271762566159335)	(62, 6.5094298059831175)	(64, 6.69123560684721)	(66, 6.878460062437924)	(68, 7.061198835335487)	(70, 7.239742357001366)	(72, 7.413144187814156)	(74, 7.5961380641526715)	(76, 7.786134110303074)	(78, 7.953556722439423)	(80, 8.116296517624502)	(82, 8.28522613333207)	(84, 8.463132189169222)	(86, 8.631963237747733)	(88, 8.802785927880542)	(90, 8.972612211688903)	(92, 9.140636766451031)	(94, 9.30926482529841)	(96, 9.475769494448688)	(98, 9.647707847372988)	(100, 9.813102709204788)	(102, 9.978593600794008)	(104, 10.13782772428595)	(106, 10.299319913354301)	(108, 10.464891220106239)	(110, 10.62227501412594)	(112, 10.773642114441909)	(114, 10.928449305153269)	(116, 11.091281616811958)	(118, 11.215307171439045)										
BACW_50_1 - illumina_universal_adapter	(1, 4.873746872173255e-06)	(2, 6.646018462054438e-06)	(3, 1.0190561641816805e-05)	(4, 1.5507376411460357e-05)	(5, 2.12672590785742e-05)	(6, 2.3039530668455384e-05)	(7, 2.5254870155806865e-05)	(8, 2.8356345438098937e-05)	(9, 3.1900888617861304e-05)	(10, 4.0097644721061774e-05)	(12, 5.383274954264095e-05)	(14, 6.867552410789587e-05)	(16, 9.171505477635125e-05)	(18, 0.00011165311016251455)	(20, 0.0001349141747797051)	(22, 0.00016149824862792285)	(24, 0.00020336816493886578)	(26, 0.00023881359673648948)	(28, 0.00028312038648351906)	(30, 0.000986933741615084)	(32, 0.009764994926296585)	(34, 0.009863799067432462)	(36, 0.00993867754210494)	(38, 0.010021088171034417)	(40, 0.010138058095966575)	(42, 0.010276516813926042)	(44, 0.010469694417223091)	(46, 0.010731547544628035)	(48, 0.01107470363121878)	(50, 0.01162765236726171)	(52, 0.012319724423110311)	(54, 0.013057875540295825)	(56, 0.013968601603546018)	(58, 0.015194570475846327)	(60, 0.01707096302163303)	(62, 0.019272345870214196)	(64, 0.021382235197967746)	(66, 0.023691062011685457)	(68, 0.02643343076307785)	(70, 0.030391799359077473)	(72, 0.03476044882813459)	(74, 0.03860450590658688)	(76, 0.04284200727799278)	(78, 0.048079955961886627)	(80, 0.057013755512528935)	(82, 0.06838199162582179)	(84, 0.07572672816218688)	(86, 0.08235568851018871)	(88, 0.09029103455388171)	(90, 0.10311098263323598)	(92, 0.12416889213025548)	(94, 0.14178925934475167)	(96, 0.15490185377038507)	(98, 0.17036913253712438)	(100, 0.19339603577050185)	(102, 0.22352731120586677)	(104, 0.254008831814182)	(106, 0.28129826975517247)	(108, 0.31099844012629885)	(110, 0.3487086134818419)	(112, 0.39804931914598024)	(114, 0.4429199127925408)	(116, 0.4833066593167019)	(118, 0.5291185507114381)	(120, 0.5869872057321359)	(122, 0.6752425648310905)	(124, 0.7717992440570483)	(126, 0.8423055247172915)	(128, 0.9151119923672516)	(130, 1.0100678672796493)	(132, 1.159159328642609)	(134, 1.3876676091518367)	(136, 1.613943048991763)	(138, 1.837478556953733)
BACW_50_1 - polya	(1, 0.017537513517669252)	(2, 0.0445199054057128)	(3, 0.06202994871373889)	(4, 0.07645313798008943)	(5, 0.10397031282037962)	(6, 0.1140270679571604)	(7, 0.12500274591329458)	(8, 0.13195403815670603)	(9, 0.13802318221625415)	(10, 0.1486437412525659)	(12, 0.16608200756120178)	(14, 0.18159137777820078)	(16, 0.19787345840838794)	(18, 0.21451198716208997)	(20, 0.23406457347745413)	(22, 0.25365171908882095)	(24, 0.2712428438220841)	(26, 0.2955712590042806)	(28, 0.31668654579402244)	(30, 0.3486102524086035)	(32, 0.36835092104644374)	(34, 0.38705525387210105)	(36, 0.4038419888375069)	(38, 0.4207979757397464)	(40, 0.44416271824494497)	(42, 0.46643064616995583)	(44, 0.48624597174851986)	(46, 0.5051195565110108)	(48, 0.5198568809166677)	(50, 0.5334978338100345)	(52, 0.5485160632626876)	(54, 0.5674281949322586)	(56, 0.5878310285428682)	(58, 0.6029788553555314)	(60, 0.6195989967914883)	(62, 0.6407052006893321)	(64, 0.6575262734167919)	(66, 0.6732179660736)	(68, 0.6879377892973069)	(70, 0.7041755631377469)	(72, 0.7199966316206163)	(74, 0.7337771509016862)	(76, 0.7499644150018147)	(78, 0.7648694406066642)	(80, 0.7808037129373371)	(82, 0.7964524280080905)	(84, 0.8169573887690671)	(86, 0.8452711996890089)	(88, 0.8635032221359629)	(90, 0.8791058581453792)	(92, 0.8965786837500178)	(94, 0.9209542856632948)	(96, 0.940537000595687)	(98, 0.9596498420228119)	(100, 0.9785342819487909)	(102, 0.9980857605944113)	(104, 1.0178973200958468)	(106, 1.0370407332078972)	(108, 1.0602718907420086)	(110, 1.0822095115494554)	(112, 1.1053746519668435)	(114, 1.1245550612483326)	(116, 1.144831177440266)	(118, 1.1673844410912475)	(120, 1.1863080925261527)	(122, 1.202327212359191)	(124, 1.2210147086047445)	(126, 1.245350655941198)	(128, 1.270022448743934)	(130, 1.2888227057693937)	(132, 1.3088797248860278)	(134, 1.3321288266699864)	(136, 1.354215539824932)	(138, 1.3757143018799345)
