#Duplication rate	Coverage
1.0	1.93544704E8
2.0	2.236691E7
3.0	2464849.0
4.0	353059.0
5.0	69304.0
6.0	23976.0
7.0	13304.0
8.0	9310.0
9.0	6951.0
10.0	5699.0
11.0	4630.0
12.0	3882.0
13.0	3391.0
14.0	2903.0
15.0	2523.0
16.0	2198.0
17.0	1958.0
18.0	1667.0
19.0	1501.0
20.0	1413.0
21.0	1421.0
22.0	1197.0
23.0	1088.0
24.0	1057.0
25.0	947.0
26.0	849.0
27.0	739.0
28.0	750.0
29.0	741.0
30.0	656.0
31.0	650.0
32.0	606.0
33.0	548.0
34.0	522.0
35.0	500.0
36.0	452.0
37.0	436.0
38.0	403.0
39.0	428.0
40.0	398.0
41.0	353.0
42.0	315.0
43.0	329.0
44.0	282.0
45.0	282.0
46.0	290.0
47.0	244.0
48.0	302.0
49.0	221.0
50.0	6889.0
