#Mapping quality	mapping quality
0.0	4716221.0
1.0	512220.0
2.0	920969.0
3.0	1843857.0
4.0	1117296.0
5.0	1058333.0
6.0	2071817.0
7.0	3683238.0
8.0	3174086.0
9.0	2355442.0
10.0	2429650.0
11.0	3088192.0
12.0	7297972.0
13.0	3258307.0
14.0	3845676.0
15.0	4675785.0
16.0	5030333.0
17.0	5232177.0
18.0	6395295.0
19.0	6279164.0
20.0	6984264.0
21.0	9205227.0
22.0	9382536.0
23.0	1.2606023E7
24.0	1.6502256E7
25.0	1.2472446E7
26.0	1.3116801E7
27.0	1.506695E7
28.0	1.8238534E7
29.0	2.0614197E7
30.0	3.1819453E7
31.0	2.9139053E7
32.0	4.0128902E7
33.0	4.8497136E7
34.0	5.8118985E7
35.0	7.5716706E7
36.0	1.07189699E8
37.0	1.40391619E8
38.0	1.97497018E8
39.0	2.63413662E8
40.0	3.1798539E8
41.0	5.70205432E8
42.0	7.77426492E8
