#Insert size (bp)	insert size
20.0	38.0
21.0	67.0
22.0	93.0
23.0	124.0
24.0	146.0
25.0	193.0
26.0	243.0
27.0	292.0
28.0	442.0
29.0	527.0
30.0	687.0
31.0	727.0
32.0	749.0
33.0	786.0
34.0	915.0
35.0	957.0
36.0	1136.0
37.0	1371.0
38.0	1766.0
39.0	2209.0
40.0	2531.0
41.0	2779.0
42.0	2659.0
43.0	2709.0
44.0	2827.0
45.0	2955.0
46.0	3049.0
47.0	3153.0
48.0	3618.0
49.0	4324.0
50.0	4859.0
51.0	4684.0
52.0	4452.0
53.0	4555.0
54.0	4811.0
55.0	4970.0
56.0	5211.0
57.0	5657.0
58.0	6502.0
59.0	8778.0
60.0	11506.0
61.0	11526.0
62.0	9034.0
63.0	7044.0
64.0	6723.0
65.0	6664.0
66.0	7467.0
67.0	7745.0
68.0	8791.0
69.0	11418.0
70.0	15700.0
71.0	19880.0
72.0	20022.0
73.0	16276.0
74.0	12731.0
75.0	11920.0
76.0	12304.0
77.0	13914.0
78.0	16556.0
79.0	20105.0
80.0	23552.0
81.0	26284.0
82.0	26981.0
83.0	26910.0
84.0	25644.0
85.0	24002.0
86.0	24342.0
87.0	25749.0
88.0	27673.0
89.0	31129.0
90.0	37619.0
91.0	42659.0
92.0	42124.0
93.0	37932.0
94.0	34864.0
95.0	34852.0
96.0	36877.0
97.0	39747.0
98.0	42551.0
99.0	48541.0
100.0	60069.0
101.0	76556.0
102.0	88455.0
103.0	85357.0
104.0	69477.0
105.0	58612.0
106.0	57709.0
107.0	61562.0
108.0	68014.0
109.0	75790.0
110.0	91228.0
111.0	116489.0
112.0	153823.0
113.0	190749.0
114.0	198410.0
115.0	178030.0
116.0	161302.0
117.0	168663.0
118.0	197991.0
119.0	241317.0
120.0	287400.0
121.0	299240.0
122.0	316599.0
123.0	329457.0
124.0	356931.0
125.0	377886.0
126.0	385653.0
127.0	417313.0
128.0	519089.0
129.0	685580.0
130.0	700648.0
131.0	589271.0
132.0	629669.0
133.0	641728.0
134.0	635997.0
135.0	641151.0
136.0	696693.0
137.0	762292.0
138.0	840902.0
139.0	939258.0
140.0	1023586.0
141.0	1094800.0
142.0	1175797.0
143.0	1305530.0
144.0	1491819.0
145.0	1668496.0
146.0	1750601.0
147.0	1764315.0
148.0	1745275.0
149.0	1704412.0
150.0	1637854.0
151.0	1555666.0
152.0	1493313.0
153.0	1464559.0
154.0	1449061.0
155.0	1433111.0
156.0	1395506.0
157.0	1325488.0
158.0	1231904.0
159.0	1127552.0
160.0	1033052.0
161.0	945701.0
162.0	869119.0
163.0	808616.0
164.0	762067.0
165.0	728371.0
166.0	700554.0
167.0	673142.0
168.0	642735.0
169.0	606372.0
170.0	563387.0
171.0	522661.0
172.0	480435.0
173.0	445598.0
174.0	418382.0
175.0	397452.0
176.0	381273.0
177.0	369308.0
178.0	357690.0
179.0	345574.0
180.0	331663.0
181.0	314608.0
182.0	296284.0
183.0	276884.0
184.0	260579.0
185.0	245973.0
186.0	233857.0
187.0	225390.0
188.0	216208.0
189.0	208410.0
190.0	200663.0
191.0	191191.0
192.0	179932.0
193.0	168732.0
194.0	157825.0
195.0	147714.0
196.0	138926.0
197.0	132404.0
198.0	126583.0
199.0	122094.0
200.0	117164.0
201.0	112005.0
202.0	106237.0
203.0	100235.0
204.0	94343.0
205.0	88184.0
206.0	83553.0
207.0	80256.0
208.0	76762.0
209.0	74871.0
210.0	72342.0
211.0	69953.0
212.0	67636.0
213.0	64673.0
214.0	62278.0
215.0	60000.0
216.0	57788.0
217.0	55715.0
218.0	55690.0
219.0	55575.0
220.0	56250.0
221.0	56117.0
222.0	55932.0
223.0	54539.0
224.0	54194.0
225.0	54343.0
226.0	53589.0
227.0	53590.0
228.0	53883.0
229.0	54779.0
230.0	55623.0
231.0	56610.0
232.0	58452.0
233.0	58518.0
234.0	59453.0
235.0	60179.0
236.0	60205.0
237.0	61093.0
238.0	61273.0
239.0	62183.0
240.0	63353.0
241.0	65814.0
242.0	68100.0
243.0	70124.0
244.0	71202.0
245.0	71878.0
246.0	72402.0
247.0	72931.0
248.0	73868.0
249.0	76305.0
250.0	79831.0
251.0	83654.0
252.0	87408.0
253.0	90112.0
254.0	92386.0
255.0	93378.0
256.0	94616.0
257.0	97164.0
258.0	99320.0
259.0	103758.0
260.0	110795.0
261.0	119162.0
262.0	126203.0
263.0	131616.0
264.0	135058.0
265.0	137608.0
266.0	142757.0
267.0	148027.0
268.0	155831.0
269.0	163907.0
270.0	172913.0
271.0	182715.0
272.0	192484.0
273.0	202909.0
274.0	211465.0
275.0	219884.0
276.0	231700.0
277.0	243809.0
278.0	258593.0
279.0	271821.0
280.0	282852.0
281.0	293049.0
282.0	302874.0
283.0	316164.0
284.0	333161.0
285.0	352103.0
286.0	371224.0
287.0	389364.0
288.0	405192.0
289.0	419513.0
290.0	431482.0
291.0	442883.0
292.0	451933.0
293.0	462474.0
294.0	473869.0
295.0	486007.0
296.0	495216.0
297.0	505091.0
298.0	513842.0
299.0	520773.0
300.0	527410.0
301.0	532782.0
302.0	535958.0
303.0	540153.0
304.0	542635.0
305.0	544425.0
306.0	546670.0
307.0	544849.0
308.0	546911.0
309.0	549756.0
310.0	554517.0
311.0	561177.0
312.0	563422.0
313.0	564304.0
314.0	561545.0
315.0	559265.0
316.0	553565.0
317.0	547307.0
318.0	544586.0
319.0	543413.0
320.0	543904.0
321.0	545117.0
322.0	548264.0
323.0	547883.0
324.0	546730.0
325.0	544195.0
326.0	538732.0
327.0	534962.0
328.0	532628.0
329.0	530850.0
330.0	527271.0
331.0	525583.0
332.0	521686.0
333.0	517716.0
334.0	512990.0
335.0	506862.0
336.0	502334.0
337.0	498513.0
338.0	495253.0
339.0	491765.0
340.0	486489.0
341.0	477072.0
342.0	470370.0
343.0	462562.0
344.0	454377.0
345.0	445200.0
346.0	436837.0
347.0	429601.0
348.0	421482.0
349.0	415700.0
350.0	407338.0
351.0	398203.0
352.0	387064.0
353.0	375205.0
354.0	363754.0
355.0	352515.0
356.0	340980.0
357.0	331711.0
358.0	322909.0
359.0	313805.0
360.0	304735.0
361.0	295918.0
362.0	286113.0
363.0	274590.0
364.0	263465.0
365.0	251388.0
366.0	242085.0
367.0	232093.0
368.0	221908.0
369.0	215087.0
370.0	207016.0
371.0	199678.0
372.0	191883.0
373.0	183993.0
374.0	174913.0
375.0	166299.0
376.0	159101.0
377.0	151024.0
378.0	143877.0
379.0	137769.0
380.0	132047.0
381.0	127199.0
382.0	122525.0
383.0	116440.0
384.0	111909.0
385.0	105913.0
386.0	101231.0
387.0	96430.0
388.0	92333.0
389.0	88064.0
390.0	84956.0
391.0	81562.0
392.0	78573.0
393.0	76467.0
394.0	72813.0
395.0	69601.0
396.0	67039.0
397.0	64204.0
398.0	61717.0
399.0	59683.0
400.0	57941.0
401.0	56748.0
402.0	55042.0
403.0	53954.0
404.0	52802.0
405.0	50936.0
406.0	50125.0
407.0	48762.0
408.0	47990.0
409.0	47176.0
410.0	46390.0
411.0	46459.0
412.0	46267.0
413.0	46056.0
414.0	45825.0
415.0	45538.0
416.0	44834.0
417.0	44543.0
418.0	43875.0
419.0	43909.0
420.0	44051.0
421.0	44575.0
422.0	45147.0
423.0	45598.0
424.0	46777.0
425.0	47055.0
426.0	47139.0
427.0	47147.0
428.0	47335.0
429.0	48100.0
430.0	48554.0
431.0	49827.0
432.0	50926.0
433.0	52628.0
434.0	53094.0
435.0	54099.0
436.0	53132.0
437.0	53516.0
438.0	53496.0
439.0	53723.0
440.0	54434.0
441.0	55876.0
442.0	57999.0
443.0	59317.0
444.0	59747.0
445.0	60516.0
446.0	60312.0
447.0	59896.0
448.0	59975.0
449.0	60738.0
450.0	61914.0
451.0	63430.0
452.0	65856.0
453.0	66577.0
454.0	66818.0
455.0	66767.0
456.0	67215.0
457.0	68234.0
458.0	69240.0
459.0	70373.0
460.0	71868.0
461.0	71720.0
462.0	72308.0
463.0	71679.0
464.0	71428.0
465.0	70424.0
466.0	71010.0
467.0	71414.0
