#Mapping quality	mapping quality
0.0	4267467.0
1.0	404557.0
2.0	745272.0
3.0	1500500.0
4.0	910259.0
5.0	854573.0
6.0	1776505.0
7.0	3336760.0
8.0	2485237.0
9.0	1926574.0
10.0	1870216.0
11.0	2425132.0
12.0	6613336.0
13.0	2345478.0
14.0	2785338.0
15.0	3534836.0
16.0	3636892.0
17.0	4022728.0
18.0	4991174.0
19.0	4819198.0
20.0	5558545.0
21.0	7584330.0
22.0	7877282.0
23.0	1.0611445E7
24.0	1.3916351E7
25.0	1.1616084E7
26.0	1.319433E7
27.0	1.5305882E7
28.0	1.8312703E7
29.0	2.0719908E7
30.0	3.2172447E7
31.0	3.0655298E7
32.0	3.9483195E7
33.0	4.7347025E7
34.0	6.0198518E7
35.0	7.8331455E7
36.0	1.1198497E8
37.0	1.50732633E8
38.0	2.19295214E8
39.0	3.03006039E8
40.0	3.92663916E8
41.0	6.08913121E8
42.0	5.9696019E8
