#Duplication rate	Coverage
1.0	2.43620162E8
2.0	3.2058952E7
3.0	4234193.0
4.0	674628.0
5.0	128786.0
6.0	35301.0
7.0	15040.0
8.0	9102.0
9.0	6490.0
10.0	5081.0
11.0	3951.0
12.0	3343.0
13.0	2708.0
14.0	2435.0
15.0	2093.0
16.0	1767.0
17.0	1571.0
18.0	1380.0
19.0	1261.0
20.0	1073.0
21.0	966.0
22.0	897.0
23.0	785.0
24.0	718.0
25.0	671.0
26.0	654.0
27.0	639.0
28.0	545.0
29.0	488.0
30.0	468.0
31.0	430.0
32.0	430.0
33.0	410.0
34.0	382.0
35.0	356.0
36.0	344.0
37.0	301.0
38.0	308.0
39.0	298.0
40.0	270.0
41.0	267.0
42.0	258.0
43.0	247.0
44.0	228.0
45.0	226.0
46.0	231.0
47.0	196.0
48.0	168.0
49.0	189.0
50.0	6494.0
