#Coverage (X)	Coverage
1.0	91.99239256088238
2.0	90.56003751288571
3.0	88.8432922298622
4.0	86.77349706074479
5.0	84.28242359104804
6.0	81.37197041659887
7.0	78.04500109281923
8.0	74.3409633473161
9.0	70.3092476077453
10.0	66.00258938534554
11.0	61.49738055664533
12.0	56.86007904027819
13.0	52.165796003352455
14.0	47.47998462971917
15.0	42.87268395975059
16.0	38.40519675101133
17.0	34.127957457244094
18.0	30.084965435915393
19.0	26.309746169880185
20.0	22.826336388771082
21.0	19.651290570747207
22.0	16.78581181038615
23.0	14.22983146081134
24.0	11.973296722448666
25.0	9.99960695469521
26.0	8.292436491560721
27.0	6.8297945577602235
28.0	5.588180985455153
29.0	4.544392581969362
30.0	3.6739678651215684
31.0	2.9545245014559214
32.0	2.365279713613333
33.0	1.885699859492064
34.0	1.4987979985142346
35.0	1.1890786144646341
36.0	0.9434041532717004
37.0	0.7490896528178581
38.0	0.596577487192107
39.0	0.47761580504599976
40.0	0.38518220510593437
41.0	0.3135083496913609
42.0	0.2580311893025282
43.0	0.21532847713821468
44.0	0.1823454271917484
45.0	0.15705934376119046
46.0	0.137431433968203
47.0	0.12216411700333651
48.0	0.11016555913356285
49.0	0.10061483662084925
50.0	0.09290648272363455
51.0	0.08663387437847803
