#Position (bp)	insert size
3874904.0	261.5444386412487
1.1624711E7	264.61866555851736
1.9374518E7	264.4787818299919
2.7124325E7	267.8144603202595
3.4874132E7	262.8683595008612
4.2623939E7	266.5128027063358
5.0373746E7	260.6544870099485
5.8123553E7	261.2726092352443
6.587336E7	260.2273170503996
7.3623167E7	255.21234193701162
8.1372974E7	256.16395303033147
8.9122781E7	260.52009441200914
9.6872588E7	259.93177461775065
1.04622395E8	254.8914175891113
1.12372202E8	263.27617423845794
1.20122009E8	297.47365263028263
1.27871816E8	354.25070524521414
1.35621623E8	0.0
1.4337143E8	360.82485814461626
1.51121237E8	269.7008892749518
1.58871044E8	268.3311169664834
1.66620851E8	259.3362797653633
1.74370658E8	259.53263944612473
1.82120465E8	262.69584512242375
1.89870272E8	255.5740891672386
1.97620079E8	258.67548264907134
2.05369886E8	264.92017023099834
2.13119693E8	258.41046220983833
2.208695E8	259.0484509887474
2.28619307E8	263.63200818161795
2.36369114E8	260.90704211149904
2.44118921E8	260.9968211288456
2.484751235E8	263.9508208808494
2.52350027E8	255.54464740960785
2.59618535E8	263.22207295340974
2.67368342E8	257.3211081683064
2.75118149E8	262.59869489654267
2.82867956E8	260.80671833814483
2.90617763E8	262.4525286722047
2.9836757E8	258.58344129620497
3.06117377E8	259.3030634723754
3.13867184E8	263.5367759099054
3.21616991E8	264.3263772439336
3.29366798E8	253.23616899648368
3.37116605E8	268.46967476826046
3.44866412E8	281.7676742127229
3.52616219E8	260.7623080287714
3.60366026E8	264.6682698687378
3.68115833E8	257.4030782536515
3.7586564E8	257.7523675591465
3.83615447E8	259.2140334146196
3.91365254E8	257.3206178831132
3.99115061E8	257.5423922124358
4.06864868E8	259.1069992885094
4.14614675E8	256.7363956859277
4.22364482E8	262.01363062152603
4.30114289E8	257.386381891763
4.37864096E8	257.46313734606724
4.45613903E8	257.99380344910503
4.5336371E8	262.2573246161017
4.61113517E8	254.87010199465482
4.68863324E8	259.7455972811605
4.76613131E8	260.23060453108457
4.84362938E8	261.7363310222509
4.896938965E8	263.58530060282396
4.935688E8	256.62031494527236
4.99862552E8	260.21386549935875
5.07612359E8	263.22006416449443
5.15362166E8	256.1183148232816
5.23111973E8	259.3239967329159
5.3086178E8	262.9020320879817
5.38611587E8	267.1185463582567
5.46361394E8	262.77417428886883
5.54111201E8	256.7759663891161
5.61861008E8	260.00122360341095
5.69610815E8	253.77709707349263
5.77360622E8	252.7296024293113
5.85110429E8	256.67115601521726
5.92860236E8	257.2873623975857
6.00610043E8	257.66679497791694
6.0835985E8	258.11719291989044
6.16109657E8	262.7544092901952
6.23859464E8	261.7803745753035
6.31609271E8	260.6477744654982
6.39359078E8	258.8614162187427
6.47108885E8	259.5513534653742
6.54858692E8	255.88547092179786
6.62608499E8	260.3664812892031
6.70358306E8	257.57447790367854
6.78108113E8	264.4458633857593
6.857142635E8	264.6859308665921
6.89589167E8	269.7049473759576
6.93607727E8	263.510672953279
7.01357534E8	259.4617504474207
7.09107341E8	254.92487512257685
7.16857148E8	256.1439850699184
7.24606955E8	257.6169964066318
7.32356762E8	258.28049028671774
7.40106569E8	262.6252911367147
7.47856376E8	256.2761395177948
7.55606183E8	254.46354328709415
7.6335599E8	259.30314699133794
7.71105797E8	259.38161522426196
7.78855604E8	258.3470498860471
7.86605411E8	256.3996467980188
7.94355218E8	258.69732395844267
8.02105025E8	256.058167295262
8.09854832E8	257.39633588632563
8.17604639E8	255.39441091020493
8.25354446E8	255.8393980357537
8.33104253E8	258.421043367967
8.4085406E8	258.5496276470381
8.48603867E8	255.35617661013913
8.56353674E8	256.33849119419796
8.64103481E8	253.986786570585
8.71853288E8	258.7697933661112
8.776941285E8	255.90603526494945
8.81569032E8	258.15174750506554
8.87352902E8	256.05923935081245
8.95102709E8	256.3127494992156
9.02852516E8	254.4699730357973
9.10602323E8	257.0011524314512
9.1835213E8	259.44630621819294
9.26101937E8	260.87911008604976
9.33851744E8	260.9273651319915
9.41601551E8	258.8482443909241
9.49351358E8	261.7314882168144
9.57101165E8	262.6811041480744
9.64850972E8	256.01549231718803
9.72600779E8	258.91898983968065
9.80350586E8	255.77240996297542
9.88100393E8	255.75638526182982
9.958502E8	257.3798813938783
1.003600007E9	256.5796855489703
1.011349814E9	261.20701104828015
1.019099621E9	263.7770187700558
1.026849428E9	260.3491155621315
1.034599235E9	258.90116570768464
1.042349042E9	255.5621058135355
1.050098849E9	261.36422324031656
1.0575860385E9	265.15723827055604
1.061460942E9	266.13701327763687
1.065598463E9	264.57886816883416
1.07334827E9	264.15307534659433
1.081098077E9	261.1677629367628
1.088847884E9	266.0591440316739
1.096597691E9	268.0274940445549
1.104347498E9	262.8734618793305
1.112097305E9	256.8843497661029
1.119847112E9	259.23876617177467
1.127596919E9	253.80386202628654
1.135346726E9	256.2281766556509
1.143096533E9	255.8310307991454
1.15084634E9	257.62118606778523
1.158596147E9	253.74322562140853
1.166345954E9	259.9534521503739
1.174095761E9	261.12507261644345
1.181845568E9	255.8709805416349
1.189595375E9	257.37873691304526
1.197345182E9	262.68248732546544
1.205094989E9	259.9710953229502
1.212844796E9	260.785033230284
1.220594603E9	261.6333622708021
1.228236905E9	259.2847890955977
1.2321118085E9	272.68249981532097
1.236094217E9	265.3804770783932
1.243844024E9	254.61855432858752
1.251593831E9	258.5298486567311
1.259343638E9	261.1245389638557
1.267093445E9	261.87801540810347
1.274843252E9	259.6066901975295
1.282593059E9	256.87309511226744
1.290342866E9	264.6579270978636
1.298092673E9	259.9486102280562
1.30584248E9	264.93756252545006
1.313592287E9	254.7092565121533
1.321342094E9	257.7842717511646
1.329091901E9	260.6188585732795
1.336841708E9	263.6130128600672
1.344591515E9	255.66009769461388
1.352341322E9	255.33719905440964
1.360091129E9	261.94251648247706
1.367840936E9	260.7904807526961
1.375590743E9	261.3734536139512
1.38334055E9	262.27743007770806
1.389282865E9	260.3199801712764
1.3931577685E9	258.0611792125137
1.398840164E9	259.50353135128046
1.406589971E9	257.44532049506125
1.414339778E9	260.8713051750888
1.422089585E9	259.6514633409183
1.429839392E9	257.4635520875017
1.437589199E9	259.56756190295295
1.445339006E9	256.29505270387125
1.453088813E9	257.96223444993655
1.46083862E9	257.77000586622285
1.468588427E9	256.5860859334818
1.476338234E9	255.25419492196318
1.484088041E9	257.7580486730909
1.491837848E9	261.79870047298596
1.499587655E9	256.83071026410227
1.507337462E9	256.2889895387838
1.515087269E9	261.84272645008843
1.522837076E9	261.6661849809484
1.530586883E9	258.14616598791326
1.5354753495E9	270.97140705180095
1.539350253E9	260.7020361776017
1.546086497E9	255.70894961534023
1.553836304E9	256.39617261280887
1.561586111E9	254.9744701469996
1.569335918E9	261.6138947290573
1.577085725E9	269.2603011821881
1.584835532E9	362.8376335678916
1.592585339E9	0.0
1.600335146E9	276.2933978873239
1.608084953E9	259.2133227643882
1.61583476E9	258.27292191063606
1.623584567E9	261.4767279347536
1.631334374E9	263.7785486895469
1.639084181E9	258.6858344707849
1.646833988E9	262.50026820099026
1.654583795E9	258.4526893929517
1.662333602E9	266.7547871580318
1.670083409E9	266.04637752666207
1.674420971E9	267.9039399853623
1.6782958745E9	262.0020338091166
1.685583023E9	261.91844827339537
1.69333283E9	259.68651614834914
1.701082637E9	261.19938239293936
1.708832444E9	261.02955406587
1.716582251E9	269.17382109576425
1.724332058E9	262.8354616444649
1.732081865E9	254.62127249925507
1.739831672E9	257.7881448859595
1.747581479E9	266.0824905078507
1.755331286E9	259.2047472714292
1.763081093E9	260.0646612655218
1.7708309E9	262.41932130564345
1.778580707E9	261.4394198187912
1.786330514E9	259.7225876080171
1.794080321E9	258.1205029884778
1.801830128E9	259.6543746951568
1.8071930415E9	261.81368747178794
1.811067945E9	269.062938460616
1.817329742E9	262.24260114445184
1.825079549E9	259.3016141965624
1.832829356E9	254.39384830635166
1.840579163E9	260.02015132434934
1.84832897E9	254.92779530963927
1.856078777E9	263.3446925338322
1.863828584E9	272.6926301608401
1.871578391E9	270.31530364533586
1.879328198E9	267.79648947359345
1.887078005E9	260.68807406985246
1.894827812E9	257.75077044576
1.902577619E9	257.07928818870477
1.910327426E9	255.64298199755606
1.918077233E9	257.32493316632707
1.92582704E9	260.5488446977049
1.933576847E9	261.13123107464025
1.940609712E9	256.674536830005
1.9444846155E9	268.7109583670269
1.949076461E9	264.608981177546
1.956826268E9	261.41071985371445
1.964576075E9	256.3007684930391
1.972325882E9	261.3059796271422
1.980075689E9	261.95943553787066
1.987825496E9	260.01210031260075
1.995575303E9	265.41413121140465
2.00332511E9	262.2141650182989
2.011074917E9	260.7402723581731
2.018824724E9	256.4272049994107
2.026574531E9	254.01961592836946
2.034324338E9	259.7862557544156
2.042074145E9	258.131554036709
2.049823952E9	261.6454491466802
2.057573759E9	262.5100465602669
2.065323566E9	266.68217245771376
2.073073373E9	258.3956342703568
2.0769956295E9	259.2480940971466
2.080870533E9	0.0
2.088572987E9	0.0
2.096322794E9	275.4803085273232
2.104072601E9	261.00521005431114
2.111822408E9	257.24553356958364
2.119572215E9	262.0371363480076
2.127322022E9	263.1610764752635
2.135071829E9	253.37965561088578
2.142821636E9	254.38009366690142
2.150571443E9	256.7743963977952
2.15832125E9	254.79498323146632
2.166071057E9	254.21553755603537
2.173820864E9	259.89222019753
2.181570671E9	254.27832858842845
2.1884264425E9	263.92808121698977
2.192301346E9	0.0
2.197070285E9	0.0
2.204820092E9	255.24935995903738
2.212569899E9	266.64849954096854
2.220319706E9	255.92587130569828
2.228069513E9	258.2711980426266
2.23581932E9	253.45504366001268
2.243569127E9	261.2202479827615
2.251318934E9	259.7411529778103
2.259068741E9	264.8348345348243
2.266818548E9	262.7752718921964
2.274568355E9	254.2077705299686
2.282318162E9	264.67860861004755
