#Mapping quality	mapping quality
0.0	4257271.0
1.0	420997.0
2.0	752376.0
3.0	1571746.0
4.0	900466.0
5.0	832497.0
6.0	1772093.0
7.0	3352897.0
8.0	2541067.0
9.0	1887217.0
10.0	1792423.0
11.0	2347474.0
12.0	6408439.0
13.0	2291610.0
14.0	2683615.0
15.0	3457685.0
16.0	3575146.0
17.0	3873270.0
18.0	4827332.0
19.0	4658648.0
20.0	5350535.0
21.0	7415862.0
22.0	7676565.0
23.0	1.0639439E7
24.0	1.4046244E7
25.0	1.1161683E7
26.0	1.2400246E7
27.0	1.4572861E7
28.0	1.7499035E7
29.0	2.0048019E7
30.0	3.1005673E7
31.0	2.9286643E7
32.0	3.9239777E7
33.0	4.7896961E7
34.0	5.9969444E7
35.0	7.9697285E7
36.0	1.14289637E8
37.0	1.55055885E8
38.0	2.23694663E8
39.0	3.06320752E8
40.0	3.85021662E8
41.0	5.81687395E8
42.0	6.0594345E8
