#Duplication rate	Coverage
1.0	2.20916179E8
2.0	2.8034743E7
3.0	3526114.0
4.0	543863.0
5.0	101452.0
6.0	27881.0
7.0	11986.0
8.0	7431.0
9.0	5459.0
10.0	4186.0
11.0	3508.0
12.0	2755.0
13.0	2510.0
14.0	2195.0
15.0	1805.0
16.0	1542.0
17.0	1385.0
18.0	1308.0
19.0	1146.0
20.0	986.0
21.0	964.0
22.0	846.0
23.0	735.0
24.0	752.0
25.0	645.0
26.0	613.0
27.0	585.0
28.0	534.0
29.0	494.0
30.0	486.0
31.0	400.0
32.0	444.0
33.0	394.0
34.0	348.0
35.0	349.0
36.0	333.0
37.0	313.0
38.0	279.0
39.0	298.0
40.0	269.0
41.0	244.0
42.0	264.0
43.0	251.0
44.0	232.0
45.0	216.0
46.0	166.0
47.0	217.0
48.0	186.0
49.0	177.0
50.0	6090.0
