#Coverage (X)	Coverage
1.0	91.42563878663057
2.0	89.772753937983
3.0	87.65584504325845
4.0	84.99162502138147
5.0	81.7514517695815
6.0	77.99296624424913
7.0	73.78878361464194
8.0	69.24150734771537
9.0	64.44528773146529
10.0	59.49924701683054
11.0	54.494009887584475
12.0	49.51545190883529
13.0	44.63257586925621
14.0	39.911874398025475
15.0	35.40584487139931
16.0	31.15341990733954
17.0	27.189834676581995
18.0	23.535116744067054
19.0	20.202883740377942
20.0	17.200592496998127
21.0	14.525375716476645
22.0	12.166981787820092
23.0	10.109605348361498
24.0	8.332170097278564
25.0	6.814756891694856
26.0	5.531896191982938
27.0	4.4575364762315814
28.0	3.567018192794251
29.0	2.8365128753067097
30.0	2.243106596385104
31.0	1.7653358842426599
32.0	1.3837876409054388
33.0	1.081541250033439
34.0	0.8445614577051401
35.0	0.6599667807634972
36.0	0.5170744038923232
37.0	0.4074053732944378
38.0	0.3238529307497089
39.0	0.2604307653892164
40.0	0.21232724085666632
41.0	0.17590333074065256
42.0	0.1482796405137492
43.0	0.12727072847202692
44.0	0.11123600523536936
45.0	0.09892827835014373
46.0	0.08927939209431202
47.0	0.08162823317459811
48.0	0.07546956316026865
49.0	0.07043827615432008
50.0	0.06621681583493455
51.0	0.06262233892377367
