#Duplication rate	Coverage
1.0	2.06108492E8
2.0	2.7570166E7
3.0	3226237.0
4.0	495006.0
5.0	87666.0
6.0	23967.0
7.0	10453.0
8.0	6485.0
9.0	4619.0
10.0	3607.0
11.0	2851.0
12.0	2356.0
13.0	1941.0
14.0	1590.0
15.0	1489.0
16.0	1305.0
17.0	1110.0
18.0	1018.0
19.0	850.0
20.0	750.0
21.0	720.0
22.0	631.0
23.0	599.0
24.0	536.0
25.0	431.0
26.0	464.0
27.0	429.0
28.0	411.0
29.0	346.0
30.0	321.0
31.0	294.0
32.0	318.0
33.0	287.0
34.0	262.0
35.0	217.0
36.0	179.0
37.0	204.0
38.0	190.0
39.0	184.0
40.0	174.0
41.0	177.0
42.0	165.0
43.0	175.0
44.0	151.0
45.0	129.0
46.0	115.0
47.0	109.0
48.0	112.0
49.0	136.0
50.0	3405.0
