#Coverage (X)	Coverage
1.0	91.86326223755796
2.0	90.35655958991912
3.0	88.42758555237074
4.0	85.94643752422715
5.0	82.80199827741438
6.0	78.97830780023997
7.0	74.50725221201583
8.0	69.47890550533597
9.0	64.02246865045134
10.0	58.2907293037423
11.0	52.43709913718131
12.0	46.61692029033186
13.0	40.96498500218493
14.0	35.59083965511253
15.0	30.58537264915485
16.0	26.002679206944734
17.0	21.88109170563949
18.0	18.229963282169635
19.0	15.043060038834696
20.0	12.298248390329704
21.0	9.965562458871773
22.0	8.006920292915794
23.0	6.382028498563059
24.0	5.047988358751709
25.0	3.965479213565942
26.0	3.09618336363458
27.0	2.4043975297510656
28.0	1.8592130686403578
29.0	1.432704830930163
30.0	1.1017403353885982
31.0	0.847197491313068
32.0	0.6527196964564581
33.0	0.5053454979216099
34.0	0.39406278184164023
35.0	0.31056385676318143
36.0	0.24795419557551668
37.0	0.20104147499085911
38.0	0.16580475582924237
39.0	0.13931567459771088
40.0	0.11958543966730417
41.0	0.10462074316716041
42.0	0.09307855153922162
43.0	0.08416674821684467
44.0	0.07712931430955905
45.0	0.0714525595625446
46.0	0.06676241011277284
47.0	0.06284276378636378
48.0	0.05949158327698001
49.0	0.05653750946420644
50.0	0.053865474956751314
51.0	0.051453511463762425
