#Duplication rate	Coverage
1.0	2.08406677E8
2.0	3.0386439E7
3.0	3488152.0
4.0	529465.0
5.0	91500.0
6.0	26319.0
7.0	12622.0
8.0	8441.0
9.0	6263.0
10.0	4801.0
11.0	4029.0
12.0	3325.0
13.0	2922.0
14.0	2677.0
15.0	2310.0
16.0	2107.0
17.0	1951.0
18.0	1692.0
19.0	1572.0
20.0	1490.0
21.0	1401.0
22.0	1290.0
23.0	1135.0
24.0	1095.0
25.0	1110.0
26.0	991.0
27.0	938.0
28.0	814.0
29.0	798.0
30.0	758.0
31.0	706.0
32.0	651.0
33.0	658.0
34.0	586.0
35.0	550.0
36.0	503.0
37.0	473.0
38.0	435.0
39.0	418.0
40.0	396.0
41.0	372.0
42.0	389.0
43.0	352.0
44.0	335.0
45.0	305.0
46.0	293.0
47.0	268.0
48.0	273.0
49.0	238.0
50.0	6926.0
