#Insert size (bp)	insert size
20.0	63.0
21.0	121.0
22.0	162.0
23.0	190.0
24.0	249.0
25.0	301.0
26.0	383.0
27.0	442.0
28.0	589.0
29.0	761.0
30.0	867.0
31.0	866.0
32.0	839.0
33.0	897.0
34.0	947.0
35.0	1035.0
36.0	1154.0
37.0	1328.0
38.0	1577.0
39.0	2021.0
40.0	2133.0
41.0	2100.0
42.0	2006.0
43.0	2057.0
44.0	2067.0
45.0	2034.0
46.0	2280.0
47.0	2521.0
48.0	2978.0
49.0	3861.0
50.0	4067.0
51.0	3782.0
52.0	3451.0
53.0	3404.0
54.0	3347.0
55.0	3606.0
56.0	3914.0
57.0	4429.0
58.0	5326.0
59.0	7096.0
60.0	9141.0
61.0	9218.0
62.0	7004.0
63.0	5448.0
64.0	4996.0
65.0	5202.0
66.0	5578.0
67.0	5939.0
68.0	7042.0
69.0	9203.0
70.0	12685.0
71.0	14865.0
72.0	14397.0
73.0	11571.0
74.0	8997.0
75.0	8135.0
76.0	8357.0
77.0	9273.0
78.0	11407.0
79.0	14202.0
80.0	16681.0
81.0	17900.0
82.0	17410.0
83.0	16514.0
84.0	15072.0
85.0	14119.0
86.0	14578.0
87.0	15711.0
88.0	17284.0
89.0	20724.0
90.0	24741.0
91.0	28315.0
92.0	28018.0
93.0	23772.0
94.0	21002.0
95.0	20511.0
96.0	21390.0
97.0	23387.0
98.0	26021.0
99.0	30158.0
100.0	37314.0
101.0	47696.0
102.0	54890.0
103.0	52517.0
104.0	41537.0
105.0	32892.0
106.0	31099.0
107.0	33217.0
108.0	36422.0
109.0	41749.0
110.0	50424.0
111.0	64129.0
112.0	83668.0
113.0	103574.0
114.0	106648.0
115.0	93275.0
116.0	81115.0
117.0	84577.0
118.0	100947.0
119.0	126733.0
120.0	156541.0
121.0	163811.0
122.0	173228.0
123.0	178203.0
124.0	191378.0
125.0	204673.0
126.0	211401.0
127.0	233020.0
128.0	294031.0
129.0	392361.0
130.0	405699.0
131.0	357181.0
132.0	388783.0
133.0	397787.0
134.0	392905.0
135.0	395394.0
136.0	430003.0
137.0	479753.0
138.0	542608.0
139.0	622841.0
140.0	695075.0
141.0	749265.0
142.0	797631.0
143.0	877185.0
144.0	999444.0
145.0	1134521.0
146.0	1224717.0
147.0	1275394.0
148.0	1307538.0
149.0	1314709.0
150.0	1294692.0
151.0	1263565.0
152.0	1248235.0
153.0	1264480.0
154.0	1303039.0
155.0	1342315.0
156.0	1358478.0
157.0	1343714.0
158.0	1298344.0
159.0	1234115.0
160.0	1166155.0
161.0	1102049.0
162.0	1041519.0
163.0	997506.0
164.0	967186.0
165.0	953836.0
166.0	944673.0
167.0	933143.0
168.0	912246.0
169.0	879807.0
170.0	833590.0
171.0	781297.0
172.0	729224.0
173.0	684952.0
174.0	647318.0
175.0	620434.0
176.0	600561.0
177.0	587421.0
178.0	575490.0
179.0	558324.0
180.0	537722.0
181.0	512617.0
182.0	479928.0
183.0	450093.0
184.0	422938.0
185.0	400449.0
186.0	380799.0
187.0	366514.0
188.0	355643.0
189.0	342405.0
190.0	328963.0
191.0	314421.0
192.0	297701.0
193.0	277818.0
194.0	260196.0
195.0	244316.0
196.0	231670.0
197.0	221029.0
198.0	211462.0
199.0	203467.0
200.0	196872.0
201.0	187935.0
202.0	179124.0
203.0	168762.0
204.0	158247.0
205.0	149072.0
206.0	141509.0
207.0	135534.0
208.0	128989.0
209.0	124797.0
210.0	120750.0
211.0	116016.0
212.0	112054.0
213.0	107270.0
214.0	102295.0
215.0	98313.0
216.0	94886.0
217.0	91813.0
218.0	89549.0
219.0	88669.0
220.0	87297.0
221.0	86783.0
222.0	85383.0
223.0	83465.0
224.0	81844.0
225.0	81136.0
226.0	79873.0
227.0	80063.0
228.0	79355.0
229.0	78870.0
230.0	80099.0
231.0	80814.0
232.0	81593.0
233.0	82075.0
234.0	82344.0
235.0	82947.0
236.0	83984.0
237.0	83774.0
238.0	84259.0
239.0	85193.0
240.0	86305.0
241.0	87495.0
242.0	89207.0
243.0	90631.0
244.0	91526.0
245.0	92820.0
246.0	93664.0
247.0	93204.0
248.0	95561.0
249.0	96152.0
250.0	98819.0
251.0	100653.0
252.0	103042.0
253.0	104809.0
254.0	105884.0
255.0	107212.0
256.0	107605.0
257.0	108489.0
258.0	109450.0
259.0	111731.0
260.0	115199.0
261.0	119121.0
262.0	123358.0
263.0	125754.0
264.0	127985.0
265.0	129656.0
266.0	131514.0
267.0	135383.0
268.0	138851.0
