#Mapping quality	mapping quality
0.0	4506749.0
1.0	452000.0
2.0	811108.0
3.0	1587761.0
4.0	1051578.0
5.0	1001819.0
6.0	2193890.0
7.0	3656847.0
8.0	2466794.0
9.0	2201973.0
10.0	2055538.0
11.0	2561335.0
12.0	6781912.0
13.0	2413848.0
14.0	2850411.0
15.0	3666052.0
16.0	3651461.0
17.0	3970059.0
18.0	4966385.0
19.0	4734517.0
20.0	5483629.0
21.0	7348462.0
22.0	7551514.0
23.0	1.0006499E7
24.0	1.242272E7
25.0	1.0782867E7
26.0	1.2466862E7
27.0	1.4529874E7
28.0	1.7004475E7
29.0	1.9752154E7
30.0	3.017007E7
31.0	3.006611E7
32.0	3.8966617E7
33.0	4.846017E7
34.0	6.3620744E7
35.0	8.6119776E7
36.0	1.23805424E8
37.0	1.71031897E8
38.0	2.48627174E8
39.0	3.40761043E8
40.0	4.31822827E8
41.0	5.81677883E8
42.0	4.98910124E8
