#Coverage (X)	Coverage
1.0	92.5497625845355
2.0	91.5657220287944
3.0	90.37690409826276
4.0	88.76622220735676
5.0	86.5673752975236
6.0	83.66683866117931
7.0	79.9876058580523
8.0	75.51315192685003
9.0	70.28786675092601
10.0	64.42280997627032
11.0	58.08379771383456
12.0	51.48086098581004
13.0	44.83672097018376
14.0	38.36194712195553
15.0	32.24513002436342
16.0	26.636490301903976
17.0	21.630554284227202
18.0	17.27665175231229
19.0	13.58200920930689
20.0	10.516820426578533
21.0	8.029333788440624
22.0	6.050768253696191
23.0	4.506363889819539
24.0	3.3236172722807567
25.0	2.4325110064097117
26.0	1.7707891495344512
27.0	1.2881232183020757
28.0	0.9402488486243925
29.0	0.6921813598954856
30.0	0.516857656541049
31.0	0.3938787449850736
32.0	0.3082602830752563
33.0	0.24842023947850578
34.0	0.20664903446051142
35.0	0.17701835860162873
36.0	0.15566888966340287
37.0	0.13990130213386465
38.0	0.12797416540351492
39.0	0.11860338287078775
40.0	0.11096086932838034
41.0	0.10466335713515207
42.0	0.09917641358252638
43.0	0.09434029274346756
44.0	0.09000189401830028
45.0	0.0859903744285333
46.0	0.08230944374427906
47.0	0.07892548822240997
48.0	0.07577295783794114
49.0	0.07279739961737164
50.0	0.07001255583955412
51.0	0.06739500656446751
