#GC Content (%)	Sample	HUMAN (hg19)
1.0	6.8374960108931385E-6	0.0
2.0	9.50711596733747E-6	3.0E-6
3.0	1.2040530823963215E-5	3.0E-6
4.0	1.6044960758629718E-5	1.0E-5
5.0	2.201074413068389E-5	8.0E-6
6.0	3.459609535392146E-5	1.2000000000000002E-5
7.0	7.02273494664642E-5	6.999999999999999E-6
8.0	1.5982306412713166E-4	9.999999999999999E-6
9.0	4.2397923471530205E-4	1.6E-5
10.0	0.0012394664083491547	1.5000000000000002E-5
11.0	0.003531716515236107	1.9999999999999998E-5
12.0	0.008444906875892229	1.6E-5
13.0	0.016618602157025684	1.6E-5
14.0	0.027405065385939193	2.4999999999999998E-5
15.0	0.039326089855321586	2.2000000000000003E-5
16.0	0.05085222849930992	2.6999999999999996E-5
17.0	0.06068958735166753	3.3E-5
18.0	0.06816043707671712	3.7000000000000005E-5
19.0	0.0723996573624509	4.7000000000000004E-5
20.0	0.07320694498907568	5.4999999999999995E-5
21.0	0.070562359529978	6.400000000000001E-5
22.0	0.06593105924390641	9.3E-5
23.0	0.060854450004487956	1.66E-4
24.0	0.05610397025607512	3.03E-4
25.0	0.05709527097255481	7.059999999999999E-4
26.0	0.043366477936340186	0.0016020000000000001
27.0	0.04413023441306294	0.0033690000000000005
28.0	0.03883071190728138	0.006167999999999999
29.0	0.032755038260693564	0.010352
30.0	0.026393007012247158	0.015647
31.0	0.02062128866641451	0.022148
32.0	0.015810524540821963	0.028808
33.0	0.011908466359179115	0.035106000000000005
34.0	0.008943798915507754	0.041161
35.0	0.006641333426134407	0.047408
36.0	0.00492958945467428	0.052698999999999996
37.0	0.0036148833491853366	0.057517000000000006
38.0	0.002619741648890766	0.061487999999999994
39.0	0.0018795758954565929	0.063321
40.0	0.0013263925030533778	0.060248
41.0	9.317518468389995E-4	0.055508
42.0	6.388564001891072E-4	0.051446000000000006
43.0	4.498854447007976E-4	0.048194
44.0	3.021301524175929E-4	0.044423
45.0	2.1168996613805014E-4	0.040655000000000004
46.0	1.4979836878048356E-4	0.03652
47.0	1.0831029537574152E-4	0.032315
48.0	7.434074348098555E-5	0.028137999999999996
49.0	5.320171198914064E-5	0.02458
50.0	4.4511826620714696E-5	0.020810000000000002
51.0	2.557931774593091E-5	0.017532
52.0	1.5037043019972164E-5	0.014506999999999997
53.0	1.1849843684217195E-5	0.012007
54.0	8.471957208716201E-6	0.010018
55.0	5.557168072598408E-6	0.008414999999999999
56.0	4.549250333940853E-6	0.007258
57.0	2.369968736843439E-6	0.006174999999999999
58.0	2.2337636370248505E-6	0.005363000000000001
59.0	1.1713638584398607E-6	0.0046159999999999994
60.0	2.3972097568071562E-6	0.003946
61.0	3.8137427949204757E-7	0.0034579999999999993
62.0	5.993024392017891E-7	0.002915
63.0	3.541332595283299E-7	0.0024610000000000005
64.0	3.541332595283299E-7	0.0019950000000000002
65.0	1.3620509981858843E-7	0.0016779999999999998
66.0	2.7241019963717686E-8	0.0013500000000000003
67.0	1.6889432377504965E-6	0.001069
68.0	0.0	8.119999999999999E-4
69.0	5.448203992743537E-8	6.4E-4
70.0	1.3620509981858843E-7	5.05E-4
71.0	0.0	4.0299999999999993E-4
72.0	8.172305989115305E-8	3.2E-4
73.0	5.448203992743537E-8	2.79E-4
74.0	2.7241019963717686E-8	2.0700000000000002E-4
75.0	8.172305989115306E-7	2.0099999999999998E-4
76.0	0.0	1.54E-4
77.0	0.0	1.12E-4
78.0	2.7241019963717686E-8	7.699999999999999E-5
79.0	0.0	6.3E-5
80.0	2.9965121960089453E-7	3.7E-5
81.0	0.0	2.8000000000000003E-5
82.0	0.0	1.6E-5
83.0	0.0	9.0E-6
84.0	5.448203992743537E-8	4.0E-6
85.0	2.7241019963717686E-8	0.0
86.0	2.7241019963717686E-8	1.0E-6
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	3.2144403557186868E-6	0.0
