#Insert size (bp)	insert size
20.0	17.0
21.0	43.0
22.0	63.0
23.0	86.0
24.0	103.0
25.0	145.0
26.0	175.0
27.0	254.0
28.0	299.0
29.0	361.0
30.0	455.0
31.0	479.0
32.0	540.0
33.0	556.0
34.0	635.0
35.0	670.0
36.0	776.0
37.0	823.0
38.0	1059.0
39.0	1332.0
40.0	1605.0
41.0	1742.0
42.0	1553.0
43.0	1661.0
44.0	1773.0
45.0	1847.0
46.0	1872.0
47.0	2129.0
48.0	2491.0
49.0	3040.0
50.0	3586.0
51.0	3488.0
52.0	3253.0
53.0	3307.0
54.0	3393.0
55.0	3588.0
56.0	3784.0
57.0	4107.0
58.0	5149.0
59.0	6912.0
60.0	9038.0
61.0	9216.0
62.0	7387.0
63.0	5597.0
64.0	5442.0
65.0	5610.0
66.0	6240.0
67.0	6637.0
68.0	7656.0
69.0	10055.0
70.0	13989.0
71.0	17644.0
72.0	17450.0
73.0	13979.0
74.0	11362.0
75.0	10745.0
76.0	11553.0
77.0	13183.0
78.0	15558.0
79.0	19167.0
80.0	22092.0
81.0	24466.0
82.0	24986.0
83.0	24910.0
84.0	23013.0
85.0	21890.0
86.0	22444.0
87.0	23952.0
88.0	26053.0
89.0	28492.0
90.0	33290.0
91.0	37048.0
92.0	37052.0
93.0	33392.0
94.0	30601.0
95.0	30693.0
96.0	33037.0
97.0	35907.0
98.0	38965.0
99.0	43437.0
100.0	54411.0
101.0	70113.0
102.0	82624.0
103.0	79050.0
104.0	65053.0
105.0	54557.0
106.0	54341.0
107.0	60470.0
108.0	67540.0
109.0	76713.0
110.0	92980.0
111.0	120659.0
112.0	159606.0
113.0	197147.0
114.0	207531.0
115.0	189096.0
116.0	175944.0
117.0	189052.0
118.0	225117.0
119.0	277975.0
120.0	333315.0
121.0	342031.0
122.0	361220.0
123.0	372680.0
124.0	403795.0
125.0	431715.0
126.0	443672.0
127.0	487048.0
128.0	612745.0
129.0	816446.0
130.0	824748.0
131.0	694652.0
132.0	740692.0
133.0	753570.0
134.0	750193.0
135.0	757223.0
136.0	829094.0
137.0	915682.0
138.0	1016802.0
139.0	1142363.0
140.0	1251127.0
141.0	1338626.0
142.0	1441113.0
143.0	1601284.0
144.0	1833991.0
145.0	2049671.0
146.0	2155657.0
147.0	2176614.0
148.0	2151643.0
149.0	2098119.0
150.0	2012101.0
151.0	1911097.0
152.0	1838291.0
153.0	1797588.0
154.0	1784431.0
155.0	1777164.0
156.0	1743426.0
157.0	1669052.0
158.0	1563952.0
159.0	1448760.0
160.0	1334101.0
161.0	1228977.0
162.0	1136960.0
163.0	1063826.0
164.0	1011047.0
165.0	974733.0
166.0	941141.0
167.0	910677.0
168.0	872567.0
169.0	829875.0
170.0	774179.0
171.0	717427.0
172.0	661903.0
173.0	615492.0
174.0	575327.0
175.0	544863.0
176.0	522752.0
177.0	505625.0
178.0	488811.0
179.0	472641.0
180.0	450770.0
181.0	425770.0
182.0	397362.0
183.0	371499.0
184.0	346642.0
185.0	326347.0
186.0	309407.0
187.0	297048.0
188.0	285241.0
189.0	274521.0
190.0	261816.0
191.0	249545.0
192.0	234598.0
193.0	219296.0
194.0	204280.0
195.0	190415.0
196.0	178878.0
197.0	169386.0
198.0	162014.0
199.0	155555.0
200.0	148834.0
201.0	141921.0
202.0	134440.0
203.0	126510.0
204.0	118116.0
205.0	110757.0
206.0	104538.0
207.0	99565.0
208.0	95972.0
209.0	92817.0
210.0	89886.0
211.0	86098.0
212.0	82491.0
213.0	79264.0
214.0	75678.0
215.0	73059.0
216.0	69970.0
217.0	68017.0
218.0	66646.0
219.0	66414.0
220.0	66519.0
221.0	66591.0
222.0	65881.0
223.0	65354.0
224.0	64012.0
225.0	63496.0
226.0	62962.0
227.0	63077.0
228.0	62972.0
229.0	63697.0
230.0	64530.0
231.0	66203.0
232.0	67168.0
233.0	68597.0
234.0	69466.0
235.0	70498.0
236.0	70693.0
237.0	71562.0
238.0	72104.0
239.0	72195.0
240.0	73872.0
241.0	76145.0
242.0	78538.0
243.0	81463.0
244.0	83592.0
245.0	84497.0
246.0	85130.0
247.0	85731.0
248.0	86841.0
249.0	89450.0
250.0	92488.0
251.0	97364.0
252.0	102354.0
253.0	104990.0
254.0	107448.0
255.0	109813.0
256.0	111678.0
257.0	112949.0
258.0	117240.0
259.0	122790.0
260.0	130155.0
261.0	139228.0
262.0	145907.0
263.0	151826.0
264.0	156026.0
265.0	159131.0
266.0	163915.0
267.0	172488.0
268.0	180033.0
269.0	190735.0
270.0	200764.0
271.0	211843.0
272.0	222393.0
273.0	233854.0
274.0	243370.0
275.0	253257.0
276.0	265604.0
277.0	280985.0
278.0	299714.0
279.0	315239.0
280.0	329275.0
281.0	339794.0
282.0	352394.0
283.0	369401.0
284.0	389413.0
285.0	410706.0
286.0	431788.0
287.0	454654.0
288.0	474437.0
289.0	491801.0
290.0	506492.0
291.0	520650.0
292.0	533876.0
293.0	546849.0
294.0	563339.0
295.0	578200.0
296.0	590636.0
297.0	603493.0
298.0	615305.0
299.0	627343.0
300.0	637787.0
301.0	646577.0
302.0	655801.0
303.0	664156.0
304.0	670562.0
305.0	674984.0
306.0	678389.0
307.0	680980.0
308.0	686265.0
309.0	694477.0
310.0	704992.0
311.0	714964.0
312.0	721340.0
313.0	724871.0
314.0	726140.0
315.0	726500.0
316.0	724435.0
317.0	721904.0
318.0	722320.0
319.0	718771.0
320.0	722101.0
321.0	727244.0
322.0	732434.0
323.0	734013.0
324.0	734949.0
325.0	733278.0
326.0	732739.0
327.0	727984.0
328.0	727302.0
329.0	724867.0
330.0	721393.0
331.0	717774.0
332.0	713480.0
333.0	706965.0
334.0	701332.0
335.0	696735.0
336.0	690688.0
337.0	684246.0
338.0	679570.0
339.0	673876.0
340.0	664957.0
341.0	654796.0
342.0	643470.0
343.0	632238.0
344.0	618876.0
345.0	607494.0
346.0	594942.0
347.0	585118.0
348.0	575723.0
349.0	563973.0
350.0	552125.0
351.0	538808.0
352.0	522630.0
353.0	507539.0
354.0	489198.0
355.0	474097.0
356.0	457584.0
357.0	443778.0
358.0	430057.0
359.0	417174.0
360.0	405144.0
361.0	392013.0
362.0	377298.0
363.0	361381.0
364.0	346151.0
365.0	331255.0
366.0	315715.0
367.0	302756.0
368.0	289686.0
369.0	278687.0
370.0	270082.0
371.0	258794.0
372.0	247398.0
373.0	236531.0
374.0	224301.0
375.0	213515.0
376.0	202247.0
377.0	192320.0
378.0	183617.0
379.0	175461.0
380.0	167579.0
381.0	160440.0
382.0	153200.0
383.0	147005.0
384.0	139848.0
385.0	132621.0
386.0	125885.0
387.0	119640.0
388.0	114656.0
389.0	108646.0
390.0	105266.0
391.0	101156.0
392.0	97268.0
393.0	93601.0
394.0	90011.0
395.0	85879.0
396.0	82134.0
397.0	79098.0
398.0	75633.0
399.0	72725.0
400.0	70975.0
401.0	68779.0
402.0	67119.0
403.0	64844.0
404.0	63464.0
405.0	61492.0
406.0	60449.0
407.0	58890.0
408.0	57637.0
409.0	56569.0
410.0	55493.0
411.0	55626.0
412.0	55132.0
413.0	54465.0
414.0	54507.0
415.0	53734.0
416.0	52978.0
417.0	52581.0
418.0	52026.0
419.0	52020.0
420.0	51553.0
421.0	52114.0
422.0	52771.0
423.0	53521.0
424.0	53641.0
425.0	55135.0
426.0	54766.0
427.0	55079.0
428.0	55382.0
429.0	55138.0
430.0	56050.0
431.0	57723.0
432.0	59073.0
433.0	59881.0
434.0	60677.0
435.0	61796.0
436.0	60856.0
437.0	61585.0
438.0	61645.0
439.0	61670.0
440.0	63074.0
441.0	64315.0
442.0	65724.0
443.0	67534.0
444.0	68597.0
445.0	68817.0
446.0	68627.0
447.0	68205.0
448.0	68791.0
449.0	69369.0
450.0	70464.0
451.0	72317.0
452.0	73837.0
453.0	74565.0
454.0	75357.0
455.0	76456.0
456.0	76042.0
457.0	77222.0
458.0	78356.0
459.0	79766.0
460.0	80390.0
461.0	80801.0
462.0	80853.0
463.0	81179.0
464.0	80309.0
465.0	80825.0
466.0	80996.0
467.0	81284.0
468.0	81209.0
469.0	81477.0
470.0	82896.0
471.0	82449.0
472.0	81942.0
473.0	81680.0
474.0	80972.0
475.0	81337.0
476.0	81462.0
477.0	82014.0
478.0	82342.0
479.0	82947.0
480.0	83149.0
481.0	83450.0
482.0	82477.0
483.0	83048.0
484.0	83141.0
485.0	83240.0
486.0	83904.0
487.0	84212.0
488.0	84101.0
489.0	85164.0
490.0	85005.0
491.0	85212.0
492.0	85872.0
493.0	85827.0
494.0	86032.0
495.0	85871.0
496.0	86051.0
497.0	86194.0
498.0	86429.0
499.0	86857.0
500.0	86697.0
501.0	86268.0
502.0	87556.0
503.0	87073.0
504.0	86627.0
505.0	87228.0
506.0	87331.0
507.0	86961.0
508.0	86306.0
509.0	86069.0
510.0	86256.0
511.0	85994.0
512.0	85606.0
513.0	84997.0
514.0	84755.0
515.0	84720.0
516.0	84321.0
517.0	83741.0
518.0	82915.0
519.0	82211.0
520.0	81506.0
521.0	80861.0
522.0	80429.0
523.0	79322.0
524.0	79255.0
525.0	78438.0
526.0	77673.0
527.0	76541.0
528.0	76301.0
529.0	75198.0
530.0	73805.0
531.0	72674.0
532.0	72648.0
533.0	71406.0
534.0	70557.0
535.0	69925.0
536.0	68623.0
537.0	67491.0
538.0	66486.0
539.0	65326.0
540.0	64698.0
541.0	63138.0
542.0	61971.0
543.0	60971.0
544.0	59639.0
545.0	58651.0
546.0	57494.0
547.0	55734.0
548.0	54983.0
549.0	53620.0
550.0	52814.0
551.0	51198.0
552.0	49791.0
553.0	48755.0
554.0	48042.0
555.0	46466.0
556.0	45649.0
557.0	44463.0
558.0	43399.0
559.0	41987.0
560.0	40718.0
561.0	39838.0
562.0	38455.0
563.0	37519.0
564.0	36383.0
565.0	35909.0
566.0	34502.0
567.0	33475.0
568.0	32426.0
569.0	31884.0
570.0	30926.0
571.0	29901.0
572.0	29055.0
573.0	28302.0
574.0	27405.0
575.0	26904.0
576.0	25738.0
577.0	25185.0
578.0	24767.0
579.0	23934.0
580.0	23282.0
581.0	22760.0
582.0	22089.0
583.0	21382.0
584.0	21130.0
585.0	20720.0
586.0	20084.0
587.0	19717.0
588.0	19138.0
589.0	18721.0
590.0	18543.0
591.0	18007.0
592.0	17556.0
593.0	17323.0
594.0	17202.0
595.0	16746.0
596.0	16370.0
597.0	16016.0
598.0	16147.0
599.0	15817.0
600.0	15415.0
601.0	15384.0
602.0	15228.0
603.0	14932.0
604.0	14802.0
605.0	14773.0
606.0	14641.0
607.0	14412.0
608.0	14506.0
609.0	14229.0
610.0	14088.0
611.0	14106.0
612.0	14080.0
613.0	13849.0
614.0	13759.0
615.0	13645.0
616.0	13792.0
617.0	13531.0
618.0	13291.0
619.0	13539.0
620.0	13471.0
621.0	13307.0
622.0	13305.0
623.0	13201.0
624.0	13361.0
625.0	13315.0
626.0	13311.0
627.0	13152.0
628.0	12977.0
629.0	12960.0
630.0	12856.0
631.0	12958.0
632.0	12681.0
633.0	12735.0
634.0	12886.0
635.0	12849.0
636.0	12842.0
637.0	12805.0
638.0	12740.0
639.0	12454.0
640.0	12685.0
641.0	12481.0
642.0	12543.0
643.0	12446.0
644.0	12418.0
645.0	12283.0
646.0	12451.0
647.0	12419.0
648.0	12455.0
649.0	12127.0
650.0	12075.0
651.0	12419.0
652.0	12315.0
653.0	12317.0
654.0	12124.0
655.0	12275.0
656.0	12305.0
657.0	12136.0
658.0	12110.0
659.0	12281.0
660.0	12316.0
661.0	12250.0
662.0	12530.0
663.0	12415.0
664.0	12572.0
