#Mapping quality	mapping quality
0.0	4266371.0
1.0	394315.0
2.0	742402.0
3.0	1478069.0
4.0	890539.0
5.0	833189.0
6.0	1818643.0
7.0	3353733.0
8.0	2342580.0
9.0	1880733.0
10.0	1775818.0
11.0	2362943.0
12.0	6648206.0
13.0	2231860.0
14.0	2678722.0
15.0	3453040.0
16.0	3534644.0
17.0	3879052.0
18.0	4899459.0
19.0	4745065.0
20.0	5520479.0
21.0	7516141.0
22.0	7747318.0
23.0	1.0435082E7
24.0	1.3459711E7
25.0	1.1232591E7
26.0	1.2686877E7
27.0	1.4735444E7
28.0	1.7394003E7
29.0	2.00153E7
30.0	3.0349691E7
31.0	2.9582801E7
32.0	3.8850802E7
33.0	4.7879475E7
34.0	6.1001295E7
35.0	8.2104949E7
36.0	1.17707155E8
37.0	1.61655651E8
38.0	2.3531879E8
39.0	3.24816242E8
40.0	4.19200481E8
41.0	5.93036147E8
42.0	5.21404993E8
