#Duplication rate	Coverage
1.0	2.35523432E8
2.0	2.9197427E7
3.0	3574014.0
4.0	525085.0
5.0	93962.0
6.0	25246.0
7.0	11201.0
8.0	6908.0
9.0	5150.0
10.0	4007.0
11.0	3234.0
12.0	2653.0
13.0	2236.0
14.0	1905.0
15.0	1642.0
16.0	1483.0
17.0	1191.0
18.0	1108.0
19.0	991.0
20.0	898.0
21.0	870.0
22.0	755.0
23.0	690.0
24.0	628.0
25.0	565.0
26.0	565.0
27.0	519.0
28.0	480.0
29.0	431.0
30.0	375.0
31.0	351.0
32.0	333.0
33.0	337.0
34.0	334.0
35.0	302.0
36.0	271.0
37.0	279.0
38.0	276.0
39.0	284.0
40.0	251.0
41.0	228.0
42.0	230.0
43.0	224.0
44.0	188.0
45.0	206.0
46.0	190.0
47.0	196.0
48.0	169.0
49.0	168.0
50.0	6523.0
