#Duplication rate	Coverage
1.0	2.22994665E8
2.0	2.783425E7
3.0	3606094.0
4.0	564414.0
5.0	108265.0
6.0	29913.0
7.0	13062.0
8.0	8040.0
9.0	5670.0
10.0	4424.0
11.0	3515.0
12.0	2833.0
13.0	2499.0
14.0	2048.0
15.0	1718.0
16.0	1551.0
17.0	1361.0
18.0	1274.0
19.0	1052.0
20.0	931.0
21.0	906.0
22.0	812.0
23.0	765.0
24.0	678.0
25.0	585.0
26.0	567.0
27.0	480.0
28.0	520.0
29.0	412.0
30.0	403.0
31.0	371.0
32.0	368.0
33.0	337.0
34.0	335.0
35.0	306.0
36.0	292.0
37.0	268.0
38.0	261.0
39.0	268.0
40.0	248.0
41.0	227.0
42.0	234.0
43.0	205.0
44.0	223.0
45.0	162.0
46.0	176.0
47.0	163.0
48.0	166.0
49.0	160.0
50.0	5279.0
