#Mapping quality	mapping quality
0.0	4775529.0
1.0	457668.0
2.0	813098.0
3.0	1895092.0
4.0	1026916.0
5.0	945021.0
6.0	1999011.0
7.0	3630860.0
8.0	3284320.0
9.0	2105402.0
10.0	1991731.0
11.0	2556777.0
12.0	6834533.0
13.0	2475328.0
14.0	2896034.0
15.0	3702479.0
16.0	3858004.0
17.0	4134694.0
18.0	5150782.0
19.0	4965641.0
20.0	5642993.0
21.0	7912623.0
22.0	8144698.0
23.0	1.2455744E7
24.0	1.6903026E7
25.0	1.1912071E7
26.0	1.2719054E7
27.0	1.4886051E7
28.0	1.7905251E7
29.0	2.0648934E7
30.0	3.1730152E7
31.0	2.9900136E7
32.0	4.0803416E7
33.0	4.9597548E7
34.0	5.9389534E7
35.0	7.9167456E7
36.0	1.12555805E8
37.0	1.51252331E8
38.0	2.16163139E8
39.0	2.94411656E8
40.0	3.79285373E8
41.0	5.69641115E8
42.0	6.07735346E8
