#Duplication rate	Coverage
1.0	2.26716279E8
2.0	2.4324062E7
3.0	2679637.0
4.0	352703.0
5.0	62117.0
6.0	18164.0
7.0	9274.0
8.0	6351.0
9.0	4702.0
10.0	3642.0
11.0	2871.0
12.0	2392.0
13.0	2017.0
14.0	1739.0
15.0	1479.0
16.0	1300.0
17.0	1130.0
18.0	950.0
19.0	897.0
20.0	768.0
21.0	722.0
22.0	705.0
23.0	615.0
24.0	573.0
25.0	507.0
26.0	444.0
27.0	443.0
28.0	444.0
29.0	403.0
30.0	343.0
31.0	359.0
32.0	321.0
33.0	305.0
34.0	275.0
35.0	273.0
36.0	275.0
37.0	228.0
38.0	237.0
39.0	250.0
40.0	207.0
41.0	189.0
42.0	192.0
43.0	201.0
44.0	182.0
45.0	168.0
46.0	169.0
47.0	149.0
48.0	166.0
49.0	147.0
50.0	5094.0
