#Mapping quality	mapping quality
0.0	4055029.0
1.0	399121.0
2.0	734055.0
3.0	1415538.0
4.0	888396.0
5.0	830258.0
6.0	1789754.0
7.0	3351604.0
8.0	2116915.0
9.0	1850071.0
10.0	1739894.0
11.0	2333196.0
12.0	6553723.0
13.0	2175538.0
14.0	2625311.0
15.0	3406060.0
16.0	3435085.0
17.0	3866381.0
18.0	4801607.0
19.0	4578997.0
20.0	5315306.0
21.0	7242209.0
22.0	7409511.0
23.0	9704871.0
24.0	1.2195044E7
25.0	1.0552732E7
26.0	1.218227E7
27.0	1.4165587E7
28.0	1.6542856E7
29.0	1.9055166E7
30.0	2.9663827E7
31.0	2.91992E7
32.0	3.7520117E7
33.0	4.6078818E7
34.0	6.0390573E7
35.0	8.1088054E7
36.0	1.16567945E8
37.0	1.60715024E8
38.0	2.36001613E8
39.0	3.28204003E8
40.0	4.28667451E8
41.0	6.04484075E8
42.0	5.35908397E8
