#Coverage (X)	Coverage
1.0	92.31847390215161
2.0	91.27537645141437
3.0	90.04652823033231
4.0	88.44674257943015
5.0	86.33261607680926
6.0	83.59358973415071
7.0	80.14540589774046
8.0	75.94380959082164
9.0	71.0058863048217
10.0	65.4007892515273
11.0	59.27059862622548
12.0	52.80157466360383
13.0	46.21429258480301
14.0	39.72688658222832
15.0	33.540162479821134
16.0	27.81711428575983
17.0	22.669355337288735
18.0	18.16131753467579
19.0	14.314325346234526
20.0	11.105551298354214
21.0	8.490391566851756
22.0	6.4035157773963505
23.0	4.771205571874987
24.0	3.5170308792564384
25.0	2.570122767464369
26.0	1.866258760818539
27.0	1.3515124473557307
28.0	0.9795066360014886
29.0	0.7137657701880329
30.0	0.5258212676095724
31.0	0.3938861000075917
32.0	0.30198038422538787
33.0	0.23777539285299554
34.0	0.19298301557145692
35.0	0.16142603351588036
36.0	0.13879827457279248
37.0	0.12227218421975294
38.0	0.10979935643499061
39.0	0.10022711725561351
40.0	0.09262463697157841
41.0	0.08641793349897853
42.0	0.08112947877691568
43.0	0.07656242917720135
44.0	0.07248468212615933
45.0	0.0687559760546037
46.0	0.06538144012293401
47.0	0.06229933085289474
48.0	0.05946403420152535
49.0	0.05685619484648896
50.0	0.054452618659837526
51.0	0.0522169498944578
