#Duplication rate	Coverage
1.0	2.55677459E8
2.0	3.7268827E7
3.0	5078293.0
4.0	836816.0
5.0	160337.0
6.0	42416.0
7.0	16869.0
8.0	9449.0
9.0	6712.0
10.0	5003.0
11.0	3950.0
12.0	3205.0
13.0	2783.0
14.0	2355.0
15.0	1930.0
16.0	1668.0
17.0	1487.0
18.0	1256.0
19.0	1115.0
20.0	1046.0
21.0	923.0
22.0	840.0
23.0	732.0
24.0	746.0
25.0	647.0
26.0	626.0
27.0	538.0
28.0	510.0
29.0	479.0
30.0	442.0
31.0	444.0
32.0	367.0
33.0	341.0
34.0	364.0
35.0	335.0
36.0	333.0
37.0	313.0
38.0	277.0
39.0	232.0
40.0	267.0
41.0	222.0
42.0	199.0
43.0	218.0
44.0	198.0
45.0	199.0
46.0	206.0
47.0	189.0
48.0	192.0
49.0	162.0
50.0	5777.0
