#Mapping quality	mapping quality
0.0	4358254.0
1.0	424693.0
2.0	804266.0
3.0	1488406.0
4.0	1021604.0
5.0	942007.0
6.0	2086625.0
7.0	3584349.0
8.0	2374711.0
9.0	2191712.0
10.0	2047399.0
11.0	2547659.0
12.0	6762228.0
13.0	2430524.0
14.0	2859308.0
15.0	3666937.0
16.0	3707789.0
17.0	4086988.0
18.0	5094424.0
19.0	4927474.0
20.0	5755357.0
21.0	7539679.0
22.0	7905824.0
23.0	1.0083279E7
24.0	1.2496866E7
25.0	1.1370009E7
26.0	1.3152593E7
27.0	1.5220963E7
28.0	1.7728331E7
29.0	2.0372314E7
30.0	2.9828165E7
31.0	3.0258852E7
32.0	3.8798428E7
33.0	4.8124353E7
34.0	6.3821287E7
35.0	8.6157285E7
36.0	1.24520323E8
37.0	1.74339516E8
38.0	2.57002888E8
39.0	3.58774202E8
40.0	4.60088191E8
41.0	5.97637733E8
42.0	4.04982589E8
