#Coverage (X)	Coverage
1.0	92.04637684525937
2.0	91.23579994639614
3.0	90.32539252083203
4.0	89.1268984775578
5.0	87.49326769065227
6.0	85.34663508548616
7.0	82.65425200506647
8.0	79.43067084526871
9.0	75.7168784044143
10.0	71.58531046018159
11.0	67.12186357820352
12.0	62.418702351698535
13.0	57.57431643515379
14.0	52.67831997096343
15.0	47.81322918223201
16.0	43.05661236197966
17.0	38.471640314447455
18.0	34.1082596424786
19.0	30.007255203864787
20.0	26.198057830761783
21.0	22.69949376777025
22.0	19.52305546333973
23.0	16.66982333156305
24.0	14.131408969292707
25.0	11.895703009438535
26.0	9.944403414046477
27.0	8.258851394312956
28.0	6.814929508911234
29.0	5.589546761516971
30.0	4.558365189164263
31.0	3.6980308534748048
32.0	2.9852944315875476
33.0	2.399821286373239
34.0	1.9218922476940747
35.0	1.5347015730481246
36.0	1.2240202617372518
37.0	0.9758266085655833
38.0	0.7796977401958998
39.0	0.6246101231211441
40.0	0.5028750813551426
41.0	0.40791445053078235
42.0	0.33393734401701636
43.0	0.276556200569928
44.0	0.2317833076462108
45.0	0.19715808763494636
46.0	0.17023299550891124
47.0	0.14943260480650622
48.0	0.1330304207752846
49.0	0.12005745146133506
50.0	0.10971245103766591
51.0	0.10132298334741563
