#GC Content (%)	Sample	HUMAN (hg19)
1.0	1.0549401320369262E-5	0.0
2.0	1.2871596579570042E-5	3.0E-6
3.0	1.5459185582679482E-5	3.0E-6
4.0	1.968336933989233E-5	1.0E-5
5.0	2.490277963676266E-5	8.0E-6
6.0	3.934462253445895E-5	1.2000000000000002E-5
7.0	8.512504335870291E-5	6.999999999999999E-6
8.0	2.0479550571618317E-4	9.999999999999999E-6
9.0	5.166331548088595E-4	1.6E-5
10.0	0.001342825995741846	1.5000000000000002E-5
11.0	0.0033384321369176943	1.9999999999999998E-5
12.0	0.007291051745676007	1.6E-5
13.0	0.013798263068717783	1.6E-5
14.0	0.022702687615905187	2.4999999999999998E-5
15.0	0.032976964088422475	2.2000000000000003E-5
16.0	0.04354408044119764	2.6999999999999996E-5
17.0	0.053127912972791215	3.3E-5
18.0	0.06096653836058676	3.7000000000000005E-5
19.0	0.06645934844597366	4.7000000000000004E-5
20.0	0.0687962067095254	5.4999999999999995E-5
21.0	0.06784096616061683	6.400000000000001E-5
22.0	0.06520505337997068	9.3E-5
23.0	0.06180604512100584	1.66E-4
24.0	0.0584692938111329	3.03E-4
25.0	0.06091104895196452	7.059999999999999E-4
26.0	0.0472095661351921	0.0016020000000000001
27.0	0.04866728550590107	0.0033690000000000005
28.0	0.043579112415393584	0.006167999999999999
29.0	0.037346340339698685	0.010352
30.0	0.03075840508621802	0.015647
31.0	0.024591229497559215	0.022148
32.0	0.01924166568544702	0.028808
33.0	0.014887593806736207	0.035106000000000005
34.0	0.011380680874727165	0.041161
35.0	0.008659908444466227	0.047408
36.0	0.006534193020339156	0.052698999999999996
37.0	0.004867852050772654	0.057517000000000006
38.0	0.003616122457627456	0.061487999999999994
39.0	0.002640424474292591	0.063321
40.0	0.0019123167378791803	0.060248
41.0	0.0013545254366191528	0.055508
42.0	9.467258329581697E-4	0.051446000000000006
43.0	6.779483188146738E-4	0.048194
44.0	4.707642694033126E-4	0.044423
45.0	3.299507721144424E-4	0.040655000000000004
46.0	2.342320951447188E-4	0.03652
47.0	1.7151070700097197E-4	0.032315
48.0	1.1933872017759443E-4	0.028137999999999996
49.0	8.607603760770896E-5	0.02458
50.0	6.738789480747409E-5	0.020810000000000002
51.0	4.3789967744929016E-5	0.017532
52.0	2.538933483392854E-5	0.014506999999999997
53.0	2.0435318280966873E-5	0.012007
54.0	1.450819133367345E-5	0.010018
55.0	1.0306123721786321E-5	0.008414999999999999
56.0	6.833888905648012E-6	0.007258
57.0	4.7549712450301705E-6	0.006174999999999999
58.0	3.627047833418362E-6	0.005363000000000001
59.0	2.2116145325721724E-6	0.0046159999999999994
60.0	1.901988498012068E-6	0.003946
61.0	7.740650864002602E-7	0.0034579999999999993
62.0	5.971359237944866E-7	0.002915
63.0	7.077166504230951E-7	0.0024610000000000005
64.0	2.43277598582939E-7	0.0019950000000000002
65.0	1.7692916260577378E-7	0.0016779999999999998
66.0	8.846458130288689E-8	0.0013500000000000003
67.0	2.145266096595007E-6	0.001069
68.0	4.4232290651443446E-8	8.119999999999999E-4
69.0	6.634843597716517E-8	6.4E-4
70.0	1.5481301728005205E-7	5.05E-4
71.0	0.0	4.0299999999999993E-4
72.0	1.990453079314955E-7	3.2E-4
73.0	4.4232290651443446E-8	2.79E-4
74.0	2.2116145325721723E-8	2.0700000000000002E-4
75.0	5.971359237944866E-7	2.0099999999999998E-4
76.0	0.0	1.54E-4
77.0	0.0	1.12E-4
78.0	4.4232290651443446E-8	7.699999999999999E-5
79.0	0.0	6.3E-5
80.0	2.2116145325721723E-7	3.7E-5
81.0	0.0	2.8000000000000003E-5
82.0	2.2116145325721723E-8	1.6E-5
83.0	0.0	9.0E-6
84.0	6.634843597716517E-8	4.0E-6
85.0	0.0	0.0
86.0	2.2116145325721723E-8	1.0E-6
87.0	2.2116145325721723E-8	0.0
88.0	4.4232290651443446E-8	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	2.6981697297380503E-6	0.0
