## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_metrics/BACW_61_insert_histogram.pdf MINIMUM_PCT=0.5 INPUT=BACW_61.deduplicated.sorted.bam OUTPUT=insert_metrics/BACW_61_insert_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 17:16:45 CEST 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
186	147	56	20	1000	244.97771	116.295749	146759529	FR	39	61	75	87	113	201	253	301	383	605	943			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
20	25
21	28
22	46
23	74
24	74
25	112
26	127
27	147
28	243
29	246
30	291
31	291
32	336
33	336
34	382
35	406
36	509
37	605
38	755
39	964
40	1081
41	1159
42	1071
43	1024
44	1104
45	1233
46	1228
47	1481
48	1754
49	2128
50	2618
51	2262
52	2080
53	2040
54	2172
55	2369
56	2607
57	2888
58	3552
59	5204
60	6891
61	6873
62	5258
63	3921
64	3681
65	3868
66	4257
67	4540
68	5336
69	7269
70	10197
71	12356
72	12477
73	9771
74	7797
75	7505
76	8071
77	9397
78	11544
79	14112
80	16215
81	17145
82	17154
83	16583
84	15684
85	15026
86	16211
87	17396
88	18870
89	21205
90	25125
91	28087
92	27136
93	24009
94	21657
95	21501
96	23310
97	25754
98	27916
99	32167
100	40543
101	53539
102	62885
103	60723
104	47680
105	38780
106	38122
107	41942
108	47728
109	55857
110	69914
111	93037
112	128196
113	161460
114	168990
115	151904
116	138283
117	148938
118	183057
119	233174
120	283709
121	288754
122	308052
123	318828
124	346295
125	371115
126	384560
127	418317
128	546004
129	744936
130	673399
131	676428
132	732572
133	750340
134	750764
135	765130
136	851211
137	953414
138	1072372
139	1214049
140	1333127
141	1425673
142	1541626
143	1730201
144	2011031
145	2274823
146	2398885
147	2420372
148	2391480
149	2320287
150	2212056
151	2101673
152	2017240
153	1983080
154	1975670
155	1964458
156	1921238
157	1837483
158	1717479
159	1583832
160	1452654
161	1329042
162	1222139
163	1138587
164	1071022
165	1024034
166	985490
167	944163
168	899914
169	844580
170	785224
171	723878
172	666044
173	614169
174	573537
175	543006
176	516344
177	500744
178	485884
179	468430
180	451986
181	428014
182	402551
183	377615
184	353649
185	332929
186	316044
187	303700
188	291280
189	280322
190	270225
191	256651
192	242275
193	227157
194	212363
195	198034
196	186872
197	177158
198	168590
199	161320
200	155849
201	149416
202	141038
203	132099
204	122969
205	116228
206	109188
207	103742
208	99932
209	97467
210	94066
211	90604
212	86528
213	82961
214	79206
215	76568
216	73316
217	72053
218	70963
219	70652
220	71241
221	71440
222	70468
223	68923
224	68694
225	67958
226	67754
227	68514
228	67964
229	68642
230	69082
231	70970
232	71826
233	72219
234	72911
235	73402
236	73968
237	74478
238	74942
239	75224
240	76702
241	77780
242	78907
243	81096
244	82263
245	83072
246	84069
247	84894
248	86588
249	89068
250	92040
251	95795
252	98943
253	100976
254	102479
255	103216
256	105145
257	106798
258	110403
259	116888
260	124165
261	132831
262	141360
263	145770
264	148686
265	152023
266	156647
267	164351
268	173843
269	183911
270	194285
271	205741
272	215142
273	226991
274	236727
275	247438
276	259940
277	278542
278	296170
279	311702
280	324666
281	336170
282	346506
283	363057
284	382713
285	403426
286	427460
287	450546
288	470389
289	485213
290	498006
291	509114
292	519040
293	528264
294	541901
295	553512
296	564374
297	575491
298	585142
299	592689
300	598559
301	604861
302	608125
303	611825
304	615034
305	616184
306	616253
307	615484
308	613501
309	616691
310	620684
311	626153
312	630663
313	631417
314	632152
315	630689
316	621302
317	613111
318	609640
319	606978
320	606614
321	607098
322	608758
323	609863
324	609686
325	605277
326	600615
327	596597
328	592199
329	587655
330	585169
331	582285
332	577484
333	571213
334	565282
335	558348
336	553355
337	547513
338	541866
339	536017
340	530773
341	523122
342	514045
343	502220
344	491648
345	480524
346	469472
347	461103
348	452631
349	442869
350	433819
351	424346
352	412218
353	399158
354	384342
355	371451
356	357859
357	346815
358	337415
359	326444
360	317859
361	306904
362	294983
363	284988
364	272657
365	260954
366	249095
367	239024
368	230956
369	221500
370	213292
371	205112
372	197521
373	188971
374	180526
375	171274
376	163261
377	156076
378	148021
379	141993
380	136570
381	131678
382	126388
383	121248
384	115353
385	109966
386	104585
387	99803
388	94719
389	91377
390	87965
391	85193
392	81723
393	79337
394	75703
395	73028
396	69733
397	67176
398	64109
399	62389
400	60652
401	59084
402	57652
403	56480
404	54422
405	53149
406	51598
407	49847
408	49381
409	48327
410	47464
411	47605
412	47142
413	46527
414	46424
415	45851
416	45169
417	44050
418	43765
419	43413
420	43278
421	43517
422	43879
423	45073
424	45287
425	45614
426	45485
427	45357
428	44894
429	44991
430	46257
431	47594
432	48386
433	50131
434	51133
435	51785
436	51081
437	50049
438	49865
439	50063
440	50853
441	52743
442	54158
443	56478
444	56963
445	57302
446	57071
447	56018
448	56393
449	57203
450	58850
451	60925
452	63002
453	64250
454	64567
455	65079
456	65718
457	66808
458	68711
459	70735
460	71221
461	71637
462	71864
463	70436
464	69842
465	69211
466	69353
467	68773
468	69491
469	70183
470	70501
471	69975
