## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_metrics/BACW_57_insert_histogram.pdf MINIMUM_PCT=0.5 INPUT=BACW_57.deduplicated.sorted.bam OUTPUT=insert_metrics/BACW_57_insert_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 16:13:41 CEST 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
194	147	69	20	1000	249.695822	121.269519	149395395	FR	55	77	91	107	139	199	239	283	381	593	931			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
20	69
21	87
22	136
23	176
24	312
25	409
26	577
27	733
28	1085
29	1442
30	1818
31	1776
32	1706
33	1871
34	1874
35	2131
36	2470
37	2969
38	3608
39	4475
40	5175
41	5256
42	4813
43	4622
44	4699
45	4894
46	4904
47	5225
48	6001
49	7473
50	8438
51	7469
52	6822
53	6666
54	6651
55	7226
56	7320
57	8010
58	9501
59	12822
60	15761
61	15491
62	12116
63	9373
64	8632
65	8783
66	9523
67	9966
68	11374
69	14851
70	20504
71	24742
72	24568
73	19258
74	15179
75	13435
76	13785
77	15302
78	18097
79	21910
80	26190
81	28942
82	29551
83	28873
84	26695
85	24519
86	24333
87	25837
88	28224
89	32781
90	40329
91	46684
92	46787
93	39984
94	36370
95	36097
96	38582
97	40997
98	44709
99	51713
100	65774
101	85068
102	99924
103	95574
104	76186
105	63184
106	61790
107	66600
108	73238
109	83238
110	101053
111	129676
112	172597
113	212778
114	221145
115	198296
116	179473
117	189472
118	222839
119	273600
120	326123
121	338569
122	358021
123	371340
124	400184
125	428940
126	441493
127	477880
128	595690
129	777182
130	702571
131	687445
132	735026
133	750927
134	755734
135	766528
136	844209
137	934865
138	1036640
139	1152093
140	1249658
141	1327349
142	1416483
143	1569078
144	1796027
145	2015438
146	2131497
147	2164837
148	2150326
149	2104954
150	2025970
151	1940299
152	1878579
153	1866052
154	1875247
155	1883820
156	1862553
157	1792218
158	1686466
159	1561068
160	1438237
161	1327101
162	1230761
163	1156434
164	1103062
165	1063888
166	1031005
167	995376
168	951684
169	894726
170	826967
171	762602
172	697431
173	643605
174	598961
175	564231
176	540094
177	516838
178	494996
179	472526
180	446583
181	418522
182	388793
183	360365
184	334925
