## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_metrics/BACW_50_insert_histogram.pdf MINIMUM_PCT=0.5 INPUT=BACW_50.deduplicated.sorted.bam OUTPUT=insert_metrics/BACW_50_insert_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 14:24:08 CEST 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
185	147	58	20	1000	245.200112	119.324053	137096930	FR	39	59	73	87	117	203	251	301	399	623	997			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
20	12
21	20
22	23
23	43
24	47
25	85
26	102
27	115
28	176
29	225
30	350
31	353
32	343
33	362
34	448
35	483
36	543
37	684
38	883
39	1226
40	1442
41	1354
42	1341
43	1338
44	1448
45	1457
46	1576
47	1782
48	2144
49	2779
50	3258
51	3119
52	2663
53	2620
54	2723
55	2973
56	3222
57	3697
58	4554
59	6453
60	9190
61	9338
62	7051
63	5206
64	4795
65	4886
66	5478
67	6002
68	7029
69	9754
70	13977
71	18034
72	17835
73	13756
74	10855
75	10228
76	10445
77	12223
78	14703
79	18649
80	22537
81	25014
82	26050
83	25574
84	23230
85	21781
86	22707
87	24190
88	26874
89	30939
90	37049
91	42678
92	42568
93	37496
94	33835
95	33555
96	35354
97	38756
98	42312
99	47772
100	59309
101	76169
102	89107
103	85642
104	69202
105	57309
106	56221
107	61268
108	68391
109	78695
110	96751
111	124003
112	162966
113	200682
114	211568
115	191982
116	176576
117	187204
118	218571
119	269030
120	325045
121	335748
122	354296
123	370991
124	405464
125	434891
126	452448
127	491640
128	612544
129	795029
130	706018
131	691985
132	741009
133	757604
134	761099
135	769384
136	838724
137	920922
138	1010792
139	1121960
140	1221222
141	1299452
142	1388297
143	1531306
144	1734942
145	1935641
146	2045828
147	2077990
148	2065631
149	2018010
150	1947050
151	1866012
152	1799816
153	1773622
154	1770851
155	1769409
156	1732935
157	1659689
158	1553306
159	1436881
160	1318125
161	1213591
162	1124683
163	1051003
164	995534
165	952680
166	917740
167	882332
168	839343
169	789935
170	734330
171	679090
172	625391
173	578407
174	540684
175	511784
176	488999
177	469991
178	455391
179	436889
180	416609
181	393390
182	367094
183	344664
184	322249
185	303215
186	286905
187	273234
