## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_metrics/BACW_48_insert_histogram.pdf MINIMUM_PCT=0.5 INPUT=BACW_48.deduplicated.sorted.bam OUTPUT=insert_metrics/BACW_48_insert_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 13:59:08 CEST 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
221	147	82	20	1000	259.203667	135.107963	175486067	FR	99	125	139	151	165	183	211	255	429	605	983			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
20	100
21	112
22	215
23	333
24	494
25	699
26	921
27	1254
28	1737
29	2602
30	3256
31	3085
32	3148
33	3278
34	3437
35	3758
36	4183
37	5106
38	6368
39	7873
40	9137
41	9547
42	9383
43	9090
44	9348
45	9220
46	9362
47	9678
48	10645
49	13103
50	14769
51	13665
52	12649
53	12509
54	12707
55	13284
56	13351
57	14296
58	16179
59	20866
60	25954
61	25822
62	20636
63	16349
64	15355
65	15482
66	16380
67	17257
68	19056
69	24103
70	32700
71	40116
72	41101
73	32696
74	25623
75	23792
76	23993
77	26086
78	29816
79	36381
80	42408
81	47629
82	50263
83	49952
84	46461
85	43045
86	42107
87	44203
88	47719
89	54759
90	66172
91	75999
92	75575
93	68258
94	61387
95	61672
96	64864
97	68950
98	74240
99	84537
100	103682
101	131858
102	152703
103	147056
104	119762
105	102180
106	100317
107	107952
108	118041
109	132228
110	157457
111	197426
112	257306
113	313993
114	325872
115	293162
116	267184
117	277214
118	321483
119	387906
120	459107
121	466829
122	490574
123	504984
124	550023
125	586604
126	600157
127	651024
128	808631
129	1061375
130	952904
131	898063
132	954717
133	967707
134	955572
135	955212
136	1034868
137	1125257
138	1236288
139	1375112
140	1491734
141	1583563
142	1687396
143	1856903
144	2106148
145	2337785
146	2453835
147	2468251
148	2438394
149	2375059
150	2276022
151	2163956
152	2071841
153	2022964
154	1998998
155	1975861
156	1927255
157	1834657
158	1708217
159	1568501
160	1435192
161	1312367
162	1207750
163	1124308
164	1059601
165	1012235
166	972803
167	935747
168	892544
169	839555
170	780835
171	721950
172	665400
173	618057
174	577964
175	547909
176	524271
177	504709
178	489389
179	471647
180	452326
181	431208
182	405621
183	380415
184	358080
185	339012
186	321743
187	308681
188	296834
189	286755
190	275605
191	263552
192	249121
193	234099
194	220317
195	206499
196	193844
197	185264
198	176700
199	170372
200	164251
201	156996
202	149479
203	141603
204	133426
205	125520
206	118797
207	113405
208	109039
209	106090
210	102668
211	99260
212	95458
213	91697
214	89372
215	85478
216	82305
217	80025
218	78698
219	78162
220	77958
221	77341
222	76203
223	75796
224	74401
225	73321
226	72575
227	72216
228	73227
229	73587
230	74623
231	76283
232	76871
233	77782
234	78752
235	79242
236	79897
237	79889
238	81273
239	82748
240	84612
241	87360
242	90500
243	93349
244	95490
245	96593
246	97334
247	98293
248	100118
249	102959
250	108500
251	114142
252	119470
253	123560
254	126357
255	128515
256	131312
257	133818
258	137948
259	144617
260	154115
261	165851
262	177032
263	184616
264	189470
