#Position (bp)	mapping quality
3874904.0	38.614002218292974
1.1624711E7	39.01923736679719
1.9374518E7	38.49843626323632
2.7124325E7	39.31114459237593
3.4874132E7	39.41797592159144
4.2623939E7	39.352445135871044
5.0373746E7	39.41395602291796
5.8123553E7	39.4671801477304
6.587336E7	39.40331794573115
7.3623167E7	39.40704856867633
8.1372974E7	39.02912729936844
8.9122781E7	39.31249702558802
9.6872588E7	39.398198406224076
1.04622395E8	39.19230399524876
1.12372202E8	39.32907263950877
1.20122009E8	26.295949129284587
1.27871816E8	13.968125331995408
1.35621623E8	0.0
1.4337143E8	22.131780049969084
1.51121237E8	37.90853715762507
1.58871044E8	38.915222656074576
1.66620851E8	39.243625471146004
1.74370658E8	39.472479074644916
1.82120465E8	39.38474544649343
1.89870272E8	39.41288346507335
1.97620079E8	39.36241346569623
2.05369886E8	38.9167697264909
2.13119693E8	39.43579013050481
2.208695E8	39.12147557949801
2.28619307E8	39.32462856716738
2.36369114E8	39.27241066400154
2.44118921E8	38.72763054376589
2.484751235E8	37.650733508580736
2.52350027E8	39.07315653565592
2.59618535E8	39.366948690936326
2.67368342E8	39.43515453288136
2.75118149E8	39.394581189232774
2.82867956E8	39.16333137285904
2.90617763E8	39.356828767948386
2.9836757E8	39.43090713101399
3.06117377E8	39.443264027455115
3.13867184E8	39.37210841762672
3.21616991E8	39.33281879760486
3.29366798E8	39.47755546633939
3.37116605E8	34.98274634421939
3.44866412E8	34.95644906345785
3.52616219E8	39.41819556308829
3.60366026E8	38.1897992139434
3.68115833E8	39.35572287133997
3.7586564E8	39.068685377707396
3.83615447E8	38.53744511879068
3.91365254E8	39.55266808301154
3.99115061E8	39.40859214602086
4.06864868E8	39.37444814977202
4.14614675E8	39.537614745379635
4.22364482E8	39.348050285503774
4.30114289E8	39.47030609497189
4.37864096E8	39.464666303812955
4.45613903E8	39.34386178508106
4.5336371E8	39.43453872058595
4.61113517E8	39.29934045359823
4.68863324E8	39.37688927948538
4.76613131E8	39.36537369333188
4.84362938E8	39.258461297706134
4.896938965E8	38.68458518159419
4.935688E8	39.03266463221514
4.99862552E8	39.23621148295216
5.07612359E8	39.38348398570703
5.15362166E8	39.281629693434766
5.23111973E8	39.4665395761245
5.3086178E8	39.40196903446306
5.38611587E8	39.449657152972236
5.46361394E8	39.39178412032506
5.54111201E8	39.4208077565363
5.61861008E8	39.44382436208315
5.69610815E8	38.90528814841732
5.77360622E8	39.414450888387265
5.85110429E8	36.39180087133731
5.92860236E8	39.3781429034369
6.00610043E8	39.219637935469166
6.0835985E8	39.418620014512086
6.16109657E8	39.080234318310225
6.23859464E8	39.062931955445016
6.31609271E8	39.36799131799171
6.39359078E8	39.39829189172217
6.47108885E8	39.3923202406312
6.54858692E8	39.336289389217185
6.62608499E8	39.54660022037625
6.70358306E8	39.51367072878587
6.78108113E8	39.32791637504159
6.857142635E8	38.587617915172736
6.89589167E8	37.533472298969826
6.93607727E8	38.67217191034924
7.01357534E8	38.541406068859935
7.09107341E8	39.47105453567223
7.16857148E8	39.469029965437684
7.24606955E8	39.46377055214212
7.32356762E8	39.347544759448795
7.40106569E8	36.425062778788316
7.47856376E8	39.17516019205703
7.55606183E8	38.8966223321885
7.6335599E8	39.267322164052686
7.71105797E8	39.33256656896251
7.78855604E8	39.4122444544284
7.86605411E8	39.349610085439615
7.94355218E8	39.3317615387698
8.02105025E8	39.397771604071906
8.09854832E8	38.94938541335722
8.17604639E8	38.95160588998812
8.25354446E8	39.36864095833744
8.33104253E8	39.121632018200806
8.4085406E8	39.4773094500971
8.48603867E8	39.21217716483352
8.56353674E8	39.09933538060117
8.64103481E8	39.320467919307795
8.71853288E8	39.07584677766271
8.776941285E8	37.74955357074847
8.81569032E8	38.01992023817689
8.87352902E8	39.19442446530533
8.95102709E8	39.252651144640154
9.02852516E8	38.71392817431052
9.10602323E8	38.841656539695094
9.1835213E8	39.341381122089636
9.26101937E8	35.82402936245728
9.33851744E8	39.193192489081625
9.41601551E8	39.3527590999619
9.49351358E8	38.86386272549626
9.57101165E8	39.29210828791614
9.64850972E8	39.37246960806624
9.72600779E8	39.6648988628938
9.80350586E8	39.14069363181601
9.88100393E8	39.49875373596324
9.958502E8	39.30575557840453
1.003600007E9	39.319944436671214
1.011349814E9	39.56620087299307
1.019099621E9	39.46029454102949
1.026849428E9	39.494948060527605
1.034599235E9	39.36451694946076
1.042349042E9	39.4162701767839
1.050098849E9	39.48845101724663
1.0575860385E9	38.520792231498326
1.061460942E9	38.284455522499826
1.065598463E9	39.23245616786549
1.07334827E9	39.310471270045504
1.081098077E9	39.34260353194302
1.088847884E9	38.91142432583919
1.096597691E9	39.27104004353711
1.104347498E9	39.340075899710534
1.112097305E9	39.2664597582857
1.119847112E9	35.36469195176233
1.127596919E9	39.226147070123446
1.135346726E9	39.11757476996883
1.143096533E9	39.15764363865502
1.15084634E9	39.38880712553785
1.158596147E9	39.389401624011725
1.166345954E9	39.44695421760436
1.174095761E9	39.41588580761742
1.181845568E9	39.313762043134844
1.189595375E9	39.502004300923694
1.197345182E9	39.593286697570726
1.205094989E9	39.635053882052816
1.212844796E9	39.407803233737084
1.220594603E9	39.318763670124675
1.228236905E9	38.768364730644315
1.2321118085E9	37.693891278555334
1.236094217E9	38.64107821869805
1.243844024E9	39.31843724232876
1.251593831E9	39.35787825550566
1.259343638E9	39.379792257667255
1.267093445E9	38.83403698738179
1.274843252E9	39.22531114989746
1.282593059E9	39.25609482809652
1.290342866E9	33.61560219281061
1.298092673E9	37.860801174721054
1.30584248E9	37.74490619183091
1.313592287E9	39.50265340246885
1.321342094E9	39.419892174845934
1.329091901E9	39.2002025278134
1.336841708E9	38.79020640012047
1.344591515E9	39.47126156627975
1.352341322E9	39.58617262844611
1.360091129E9	39.0806615555149
1.367840936E9	39.39220268868869
1.375590743E9	39.13720952179874
1.38334055E9	38.48263026931662
