#Coverage (X)	Coverage
1.0	92.31538295395104
2.0	91.24393795619036
3.0	89.98661260420184
4.0	88.41733523173217
5.0	86.4355136801465
6.0	83.99317858955496
7.0	81.05685599451887
8.0	77.61301520211114
9.0	73.67333856875231
10.0	69.27749215008531
11.0	64.49107552071573
12.0	59.396846167841076
13.0	54.102789467086886
14.0	48.72006916381851
15.0	43.36693959992725
16.0	38.153172195666166
17.0	33.17711576329353
18.0	28.519753165019495
19.0	24.23812001952858
20.0	20.374322314397475
21.0	16.94319903330772
22.0	13.943065101896693
23.0	11.359756811420283
24.0	9.164916840417277
25.0	7.328557213778467
26.0	5.8098243623178405
27.0	4.5692476546303595
28.0	3.568440841244893
29.0	2.7708750739394787
30.0	2.140761910089296
31.0	1.6482956049449342
32.0	1.2671849531868844
33.0	0.9746199332533791
34.0	0.7521610521429096
35.0	0.5838394914913749
36.0	0.45706632383885903
37.0	0.3619400114553031
38.0	0.2907658459457281
39.0	0.23753932243822362
40.0	0.1980076895089411
41.0	0.16833798041668047
42.0	0.14591742019921128
43.0	0.1288532518852037
44.0	0.11563463127193074
45.0	0.10524308129804183
46.0	0.09697671345784897
47.0	0.09014838154953964
48.0	0.08447523979602067
49.0	0.07963534466910005
50.0	0.07542782018180105
51.0	0.07170788852303644
