#Duplication rate	Coverage
1.0	2.42728579E8
2.0	3.2066226E7
3.0	4057134.0
4.0	615816.0
5.0	111382.0
6.0	29353.0
7.0	12299.0
8.0	7456.0
9.0	5340.0
10.0	4028.0
11.0	3076.0
12.0	2604.0
13.0	2111.0
14.0	1871.0
15.0	1528.0
16.0	1318.0
17.0	1179.0
18.0	1057.0
19.0	948.0
20.0	853.0
21.0	779.0
22.0	763.0
23.0	633.0
24.0	567.0
25.0	493.0
26.0	455.0
27.0	456.0
28.0	443.0
29.0	406.0
30.0	356.0
31.0	354.0
32.0	324.0
33.0	309.0
34.0	297.0
35.0	291.0
36.0	251.0
37.0	252.0
38.0	234.0
39.0	205.0
40.0	204.0
41.0	193.0
42.0	204.0
43.0	181.0
44.0	187.0
45.0	164.0
46.0	185.0
47.0	150.0
48.0	155.0
49.0	145.0
50.0	4697.0
