#GC Content (%)	Sample	HUMAN (hg19)
1.0	8.748649711831463E-6	0.0
2.0	1.1816669336802499E-5	3.0E-6
3.0	1.2751456566285858E-5	3.0E-6
4.0	1.40697462488906E-5	1.0E-5
5.0	1.730554819710224E-5	8.0E-6
6.0	2.909824863058465E-5	1.2000000000000002E-5
7.0	5.512847763619826E-5	6.999999999999999E-6
8.0	1.2461432836112816E-4	9.999999999999999E-6
9.0	2.982450640118326E-4	1.6E-5
10.0	7.933467309915331E-4	1.5000000000000002E-5
11.0	0.0022323198418129084	1.9999999999999998E-5
12.0	0.005818139685207764	1.6E-5
13.0	0.012914996393638807	1.6E-5
14.0	0.023372724787805697	2.4999999999999998E-5
15.0	0.035333662953691794	2.2000000000000003E-5
16.0	0.046796167775036694	2.6999999999999996E-5
17.0	0.05663669690871136	3.3E-5
18.0	0.06423829078325678	3.7000000000000005E-5
19.0	0.06911792805896658	4.7000000000000004E-5
20.0	0.07049635572000142	5.4999999999999995E-5
21.0	0.06880177822417463	6.400000000000001E-5
22.0	0.0652984593460075	9.3E-5
23.0	0.061233453187437496	1.66E-4
24.0	0.05727029089907452	3.03E-4
25.0	0.0591308770192962	7.059999999999999E-4
26.0	0.04542068828911022	0.0016020000000000001
27.0	0.04680561152294481	0.0033690000000000005
28.0	0.041902197095141494	0.006167999999999999
29.0	0.03603839664910896	0.010352
30.0	0.029766597530761926	0.015647
31.0	0.02380502792808677	0.022148
32.0	0.018633713067874855	0.028808
33.0	0.01441741519154845	0.035106000000000005
34.0	0.011018984234310027	0.041161
35.0	0.008385233199692315	0.047408
36.0	0.006341021311135444	0.052698999999999996
37.0	0.004732204551387938	0.057517000000000006
38.0	0.0035186350073886544	0.061487999999999994
39.0	0.002584255249261734	0.063321
40.0	0.0018846748680583776	0.060248
41.0	0.0013447753207734361	0.055508
42.0	9.647243897301494E-4	0.051446000000000006
43.0	6.899688509720013E-4	0.048194
44.0	4.7942600420836415E-4	0.044423
45.0	3.4884341892053454E-4	0.040655000000000004
46.0	2.4582507245080406E-4	0.03652
47.0	1.8132475361645208E-4	0.032315
48.0	1.2751456566285858E-4	0.028137999999999996
49.0	8.899653802748007E-5	0.02458
50.0	6.752040065268283E-5	0.020810000000000002
51.0	4.8273371286653607E-5	0.017532
52.0	2.7803927851299995E-5	0.014506999999999997
53.0	2.2195204474399818E-5	0.012007
54.0	1.584344509457698E-5	0.010018
55.0	1.0354566234277237E-5	0.008414999999999999
56.0	7.933706998948533E-6	0.007258
57.0	4.458216017536034E-6	0.006174999999999999
58.0	3.667242207973188E-6	0.005363000000000001
59.0	2.037356782207327E-6	0.0046159999999999994
60.0	1.6538543290859478E-6	0.003946
61.0	8.868494228431893E-7	0.0034579999999999993
62.0	6.231914863222411E-7	0.002915
63.0	3.835024531213792E-7	0.0024610000000000005
64.0	2.876268398410344E-7	0.0019950000000000002
65.0	2.636579365209482E-7	0.0016779999999999998
66.0	9.58756132803448E-8	0.0013500000000000003
67.0	6.711292929624136E-7	0.001069
68.0	7.190670996025861E-8	8.119999999999999E-4
69.0	4.79378066401724E-8	6.4E-4
70.0	0.0	5.05E-4
71.0	0.0	4.0299999999999993E-4
72.0	2.39689033200862E-8	3.2E-4
73.0	0.0	2.79E-4
74.0	2.39689033200862E-8	2.0700000000000002E-4
75.0	2.157201298807758E-7	2.0099999999999998E-4
76.0	0.0	1.54E-4
77.0	0.0	1.12E-4
78.0	4.79378066401724E-8	7.699999999999999E-5
79.0	0.0	6.3E-5
80.0	7.19067099602586E-8	3.7E-5
81.0	0.0	2.8000000000000003E-5
82.0	0.0	1.6E-5
83.0	2.39689033200862E-8	9.0E-6
84.0	2.39689033200862E-8	4.0E-6
85.0	0.0	0.0
86.0	2.39689033200862E-8	1.0E-6
87.0	0.0	0.0
88.0	0.0	0.0
89.0	2.39689033200862E-8	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	1.1265384560440513E-6	0.0
