#Mapping quality	mapping quality
0.0	4253593.0
1.0	403660.0
2.0	745581.0
3.0	1458484.0
4.0	943734.0
5.0	880793.0
6.0	1910732.0
7.0	3407616.0
8.0	2341864.0
9.0	2032793.0
10.0	1951008.0
11.0	2484331.0
12.0	6775093.0
13.0	2373965.0
14.0	2828695.0
15.0	3625440.0
16.0	3640826.0
17.0	4063033.0
18.0	5019851.0
19.0	4847501.0
20.0	5638225.0
21.0	7570216.0
22.0	7842501.0
23.0	1.0237261E7
24.0	1.2986885E7
25.0	1.1375124E7
26.0	1.3125092E7
27.0	1.5243322E7
28.0	1.7952228E7
29.0	2.0476232E7
30.0	3.1301247E7
31.0	3.0874506E7
32.0	3.9237101E7
33.0	4.8007089E7
34.0	6.2258128E7
35.0	8.2649888E7
36.0	1.18499325E8
37.0	1.62338664E8
38.0	2.37257639E8
39.0	3.29939452E8
40.0	4.26859103E8
41.0	6.04331684E8
42.0	5.0971586E8
