#Coverage (X)	Coverage
1.0	91.7745843443641
2.0	90.85720584138944
3.0	89.77906009555353
4.0	88.256369338746
5.0	86.03241105952524
6.0	82.92082621428314
7.0	78.82225461065158
8.0	73.74179331147359
9.0	67.79354832918065
10.0	61.1886250676481
11.0	54.19161594463853
12.0	47.086354761920475
13.0	40.15127528310714
14.0	33.60961334420645
15.0	27.632855875284903
16.0	22.33054154884445
17.0	17.750469623750504
18.0	13.88981090027822
19.0	10.708311146797769
20.0	8.144120463040935
21.0	6.116645157812016
22.0	4.541989231594798
23.0	3.339417021904225
24.0	2.4357321191529735
25.0	1.7672852877906848
26.0	1.2797810743749238
27.0	0.9268174485008984
28.0	0.6746595349848263
29.0	0.49602429727292474
30.0	0.3703832546827641
31.0	0.2825961256817209
32.0	0.2213248205159033
33.0	0.178436394033767
34.0	0.14826847894455852
35.0	0.12668248796737203
36.0	0.11099135396106874
37.0	0.09920854341760332
38.0	0.09024190001527188
39.0	0.08306417227991858
40.0	0.07725834979179069
41.0	0.07245539107167076
42.0	0.06837009544491934
43.0	0.06477677985310493
44.0	0.06156128015329898
45.0	0.05869385366685265
46.0	0.05608717563114851
47.0	0.0536752443970272
48.0	0.05144128535178538
49.0	0.049336652118626034
50.0	0.04736360281849272
51.0	0.04554726711154444
