#Duplication rate	Coverage
1.0	2.12863723E8
2.0	2.316883E7
3.0	2422583.0
4.0	310719.0
5.0	53232.0
6.0	16168.0
7.0	8377.0
8.0	5557.0
9.0	4172.0
10.0	3192.0
11.0	2565.0
12.0	2098.0
13.0	1773.0
14.0	1416.0
15.0	1299.0
16.0	1189.0
17.0	986.0
18.0	921.0
19.0	777.0
20.0	722.0
21.0	664.0
22.0	572.0
23.0	539.0
24.0	458.0
25.0	425.0
26.0	438.0
27.0	377.0
28.0	379.0
29.0	325.0
30.0	331.0
31.0	282.0
32.0	290.0
33.0	297.0
34.0	238.0
35.0	233.0
36.0	219.0
37.0	198.0
38.0	196.0
39.0	173.0
40.0	189.0
41.0	190.0
42.0	169.0
43.0	169.0
44.0	142.0
45.0	145.0
46.0	124.0
47.0	123.0
48.0	130.0
49.0	124.0
50.0	4418.0
