#Mapping quality	mapping quality
0.0	4215772.0
1.0	407076.0
2.0	749216.0
3.0	1413789.0
4.0	867159.0
5.0	817381.0
6.0	1747220.0
7.0	3338312.0
8.0	2215119.0
9.0	1849313.0
10.0	1801581.0
11.0	2440500.0
12.0	6567959.0
13.0	2302239.0
14.0	2757976.0
15.0	3579503.0
16.0	3666126.0
17.0	4101962.0
18.0	5069074.0
19.0	4872111.0
20.0	5657709.0
21.0	7615733.0
22.0	7887313.0
23.0	1.0155755E7
24.0	1.2985392E7
25.0	1.1168506E7
26.0	1.3124722E7
27.0	1.5239716E7
28.0	1.8111881E7
29.0	2.0637576E7
30.0	3.1754433E7
31.0	3.0919619E7
32.0	3.9872222E7
33.0	4.7979479E7
34.0	6.284482E7
35.0	8.1419619E7
36.0	1.15666609E8
37.0	1.53555383E8
38.0	2.22408983E8
39.0	3.00868549E8
40.0	3.69541116E8
41.0	5.9549616E8
42.0	6.15250344E8
