#Insert size (bp)	insert size
20.0	13.0
21.0	21.0
22.0	32.0
23.0	48.0
24.0	51.0
25.0	82.0
26.0	85.0
27.0	144.0
28.0	163.0
29.0	246.0
30.0	329.0
31.0	361.0
32.0	356.0
33.0	365.0
34.0	404.0
35.0	474.0
36.0	553.0
37.0	638.0
38.0	890.0
39.0	1115.0
40.0	1262.0
41.0	1432.0
42.0	1294.0
43.0	1340.0
44.0	1421.0
45.0	1476.0
46.0	1667.0
47.0	1837.0
48.0	2142.0
49.0	2882.0
50.0	3376.0
51.0	3084.0
52.0	2894.0
53.0	2779.0
54.0	2959.0
55.0	3282.0
56.0	3489.0
57.0	3919.0
58.0	4872.0
59.0	6617.0
60.0	9114.0
61.0	8913.0
62.0	7073.0
63.0	5203.0
64.0	4948.0
65.0	4949.0
66.0	5387.0
67.0	6009.0
68.0	6916.0
69.0	9062.0
70.0	12566.0
71.0	15647.0
72.0	15986.0
73.0	12788.0
74.0	9966.0
75.0	9149.0
76.0	9507.0
77.0	11127.0
78.0	13330.0
79.0	16586.0
80.0	18984.0
81.0	20637.0
82.0	21180.0
83.0	20584.0
84.0	18927.0
85.0	18006.0
86.0	18739.0
87.0	20032.0
88.0	22016.0
89.0	25011.0
90.0	29804.0
91.0	33670.0
92.0	33487.0
93.0	29610.0
94.0	26684.0
95.0	25985.0
96.0	27874.0
97.0	30559.0
98.0	33884.0
99.0	38442.0
100.0	47770.0
101.0	62111.0
102.0	71991.0
103.0	69503.0
104.0	55446.0
105.0	44675.0
106.0	43697.0
107.0	47310.0
108.0	53243.0
109.0	60949.0
110.0	74881.0
111.0	97225.0
112.0	130159.0
113.0	163453.0
114.0	171968.0
115.0	153830.0
116.0	139688.0
117.0	151246.0
118.0	182986.0
119.0	229468.0
120.0	275615.0
121.0	281640.0
122.0	296894.0
123.0	308564.0
124.0	336362.0
125.0	357420.0
126.0	368321.0
127.0	408867.0
128.0	522091.0
129.0	707004.0
130.0	722819.0
131.0	616351.0
132.0	660228.0
133.0	680245.0
134.0	684960.0
135.0	700445.0
136.0	778021.0
137.0	868072.0
138.0	974386.0
139.0	1100263.0
140.0	1207136.0
141.0	1305308.0
142.0	1418698.0
143.0	1604354.0
144.0	1877255.0
145.0	2128261.0
146.0	2245315.0
147.0	2262606.0
148.0	2225689.0
149.0	2163774.0
150.0	2071018.0
151.0	1968964.0
152.0	1894608.0
153.0	1860867.0
154.0	1855873.0
155.0	1847536.0
156.0	1801145.0
157.0	1713702.0
158.0	1586210.0
159.0	1452749.0
160.0	1321145.0
161.0	1206139.0
162.0	1107875.0
163.0	1028510.0
164.0	967780.0
165.0	922956.0
166.0	886024.0
167.0	845905.0
168.0	802430.0
169.0	752965.0
170.0	696132.0
171.0	638362.0
172.0	587560.0
173.0	541441.0
174.0	505105.0
175.0	477223.0
176.0	456207.0
177.0	439723.0
178.0	424646.0
179.0	408821.0
180.0	390628.0
181.0	369232.0
182.0	346481.0
183.0	324467.0
184.0	303782.0
185.0	286903.0
186.0	272038.0
187.0	261658.0
188.0	250771.0
189.0	242015.0
190.0	231776.0
191.0	220339.0
192.0	207235.0
193.0	193646.0
194.0	180970.0
195.0	169536.0
196.0	159875.0
197.0	151695.0
198.0	144929.0
199.0	138496.0
200.0	132752.0
201.0	125933.0
202.0	119544.0
203.0	111940.0
204.0	105273.0
205.0	98476.0
206.0	93201.0
207.0	88287.0
208.0	85015.0
209.0	81709.0
210.0	78874.0
211.0	75974.0
212.0	72663.0
213.0	69704.0
214.0	66555.0
215.0	63360.0
216.0	60858.0
217.0	58538.0
218.0	58081.0
219.0	57552.0
220.0	57250.0
221.0	56715.0
222.0	56453.0
223.0	55170.0
224.0	54325.0
225.0	53684.0
226.0	53541.0
227.0	52911.0
228.0	52930.0
229.0	53241.0
230.0	53905.0
231.0	54658.0
232.0	55026.0
233.0	55858.0
234.0	56134.0
235.0	56259.0
236.0	56451.0
237.0	56555.0
238.0	57057.0
239.0	56796.0
240.0	58195.0
241.0	59819.0
242.0	61468.0
243.0	62594.0
244.0	63882.0
245.0	63706.0
246.0	64732.0
247.0	64843.0
248.0	65513.0
249.0	67508.0
250.0	70542.0
251.0	74202.0
252.0	77629.0
253.0	79794.0
254.0	81151.0
255.0	82144.0
256.0	82728.0
257.0	84735.0
258.0	87350.0
259.0	92184.0
260.0	98695.0
261.0	106727.0
262.0	114196.0
263.0	119274.0
264.0	122914.0
265.0	125836.0
266.0	129881.0
