#Mapping quality	mapping quality
0.0	4474792.0
1.0	408644.0
2.0	747557.0
3.0	1762690.0
4.0	912900.0
5.0	836232.0
6.0	1872233.0
7.0	3423280.0
8.0	3045973.0
9.0	2021170.0
10.0	1951246.0
11.0	2542104.0
12.0	6895160.0
13.0	2515024.0
14.0	2936350.0
15.0	3722269.0
16.0	3972040.0
17.0	4151002.0
18.0	5176002.0
19.0	5025625.0
20.0	5638755.0
21.0	7891887.0
22.0	8127421.0
23.0	1.1908865E7
24.0	1.6104852E7
25.0	1.172013E7
26.0	1.2576337E7
27.0	1.4775978E7
28.0	1.8043796E7
29.0	2.0776027E7
30.0	3.1996843E7
31.0	2.9752337E7
32.0	4.0977453E7
33.0	4.9939528E7
34.0	6.0914397E7
35.0	8.080183E7
36.0	1.15849908E8
37.0	1.56279116E8
38.0	2.22698478E8
39.0	3.00261087E8
40.0	3.72034958E8
41.0	5.60160782E8
42.0	6.15671625E8
