#GC Content (%)	Sample	HUMAN (hg19)
1.0	1.2369471604698035E-5	0.0
2.0	1.5818401842485956E-5	3.0E-6
3.0	1.8204128022008427E-5	3.0E-6
4.0	1.7970741765316012E-5	1.0E-5
5.0	2.1601194647198033E-5	8.0E-6
6.0	2.8680577766867982E-5	1.2000000000000002E-5
7.0	5.489763393531601E-5	6.999999999999999E-6
8.0	1.0808376865488765E-4	9.999999999999999E-6
9.0	2.3574605106563905E-4	1.6E-5
10.0	5.621237651468329E-4	1.5000000000000002E-5
11.0	0.001483299320311798	1.9999999999999998E-5
12.0	0.0036243848392080195	1.6E-5
13.0	0.00789465317790915	1.6E-5
14.0	0.01474339881235439	2.4999999999999998E-5
15.0	0.023874713900864052	2.2000000000000003E-5
16.0	0.03411049055146113	2.6999999999999996E-5
17.0	0.04448132004926421	3.3E-5
18.0	0.0537686149526633	3.7000000000000005E-5
19.0	0.06129856320678111	4.7000000000000004E-5
20.0	0.06579521621447387	5.4999999999999995E-5
21.0	0.06719447055057011	6.400000000000001E-5
22.0	0.06645113532300476	9.3E-5
23.0	0.06480003128413112	1.66E-4
24.0	0.062849829791403	3.03E-4
25.0	0.06687737642314401	7.059999999999999E-4
26.0	0.05263733990286257	0.0016020000000000001
27.0	0.055010696610780334	0.0033690000000000005
28.0	0.0498421764336827	0.006167999999999999
29.0	0.04309313859445772	0.010352
30.0	0.035831895717211786	0.015647
31.0	0.028872110088193553	0.022148
32.0	0.022829013811850537	0.028808
33.0	0.01779603918627859	0.035106000000000005
34.0	0.013714709988273122	0.041161
35.0	0.010491723578769752	0.047408
36.0	0.007960545897715308	0.052698999999999996
37.0	0.005961514813725871	0.057517000000000006
38.0	0.004390669715348118	0.061487999999999994
39.0	0.003229287838434059	0.063321
40.0	0.0023361964294910816	0.060248
41.0	0.0016693340987019522	0.055508
42.0	0.0011707432589880547	0.051446000000000006
43.0	8.254871899210744E-4	0.048194
44.0	5.83413778118441E-4	0.044423
45.0	4.130418107329775E-4	0.040655000000000004
46.0	2.9155129822142556E-4	0.03652
47.0	2.1349656126096208E-4	0.032315
48.0	1.4840772745007726E-4	0.028137999999999996
49.0	1.0816156407378511E-4	0.02458
50.0	8.158146261714888E-5	0.020810000000000002
51.0	5.554592909279494E-5	0.017532
52.0	3.1766462716467695E-5	0.014506999999999997
53.0	2.6787555907029495E-5	0.012007
54.0	1.7555832864529493E-5	0.010018
55.0	1.3510471081860957E-5	0.008414999999999999
56.0	9.12799581730337E-6	0.007258
57.0	5.886520029908707E-6	0.006174999999999999
58.0	3.863839138574438E-6	0.005363000000000001
59.0	2.904362305505618E-6	0.0046159999999999994
60.0	1.7374310220435394E-6	0.003946
61.0	1.0632040582654497E-6	0.0034579999999999993
62.0	7.779541889747192E-7	0.002915
63.0	5.964315448806181E-7	0.0024610000000000005
64.0	4.1490890078651687E-7	0.0019950000000000002
65.0	2.852498692907304E-7	0.0016779999999999998
66.0	1.2965903149578653E-7	0.0013500000000000003
67.0	6.223633511797753E-7	0.001069
68.0	7.779541889747192E-8	8.119999999999999E-4
69.0	2.5931806299157304E-8	6.4E-4
70.0	2.5931806299157304E-8	5.05E-4
71.0	0.0	4.0299999999999993E-4
72.0	1.2965903149578653E-7	3.2E-4
73.0	2.5931806299157304E-8	2.79E-4
74.0	5.186361259831461E-8	2.0700000000000002E-4
75.0	3.6304528818820227E-7	2.0099999999999998E-4
76.0	0.0	1.54E-4
77.0	0.0	1.12E-4
78.0	0.0	7.699999999999999E-5
79.0	2.5931806299157304E-8	6.3E-5
80.0	1.5559083779494383E-7	3.7E-5
81.0	0.0	2.8000000000000003E-5
82.0	0.0	1.6E-5
83.0	0.0	9.0E-6
84.0	0.0	4.0E-6
85.0	0.0	0.0
86.0	0.0	1.0E-6
87.0	0.0	0.0
88.0	2.5931806299157304E-8	0.0
89.0	2.5931806299157304E-8	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	1.2187948960603932E-6	0.0
