bin,mean_ALS,mean_Control,mean_diff,p.value,bin_start,bin_end,bin_mid
365-370,237756.5,271413,-33656.5,0.9867221502796661,365,370,367.5
370-375,194277.925,223291.375,-29013.45000000001,0.9876753458211102,370,375,372.5
375-380,152883.1,177707.575,-24824.475000000006,0.9922410242037304,375,380,377.5
380-385,123176.675,144515.925,-21339.249999999985,0.9945384978614771,380,385,382.5
385-390,97522.275,115453.3,-17931.02500000001,0.9962102039842087,385,390,387.5
390-395,80070.625,95318.8,-15248.175000000003,0.9970819221585562,390,395,392.5
395-400,66001.25,78927.225,-12925.975000000006,0.997249172698794,395,400,397.5
400-405,57075.575,68459.925,-11384.350000000006,0.9976300975815671,400,405,402.5
405-410,51080.6,60944.25,-9863.650000000001,0.9955059964389306,405,410,407.5
410-415,48870.175,57927.475,-9057.299999999996,0.9983826342329114,410,415,412.5
415-420,47045.225,55595.85,-8550.625,0.9990113977695926,415,420,417.5
420-425,48615.65,57105.225,-8489.574999999997,0.9980833439054173,420,425,422.5
425-430,50541.125,59114.075,-8572.949999999997,0.9956309270789776,425,430,427.5
430-435,55147.675,64619.05,-9471.375,0.9985949763568286,430,435,432.5
435-440,56997.175,67226.8,-10229.625,0.9984564044790033,435,440,437.5
440-445,62025.975,73541.6,-11515.625000000007,0.9993561966375126,440,445,442.5
445-450,63764.25,76350.825,-12586.574999999997,0.9993981285170633,445,450,447.5
450-455,69023.525,83012.575,-13989.050000000003,0.9996278085129988,450,455,452.5
455-460,72342.775,87308.625,-14965.850000000006,0.9997479190522398,455,460,457.5
460-465,73975.6,90065.75,-16090.149999999994,0.9998310619589236,460,465,462.5
465-470,74974.13513513513,90087.375,-15113.239864864867,0.9981978269635513,465,470,467.5
470-475,74677.88571428572,89070.4,-14392.514285714278,0.9921544823821813,470,475,472.5
475-480,74443.45714285714,89316.975,-14873.51785714287,0.9883154336257216,475,480,477.5
480-485,74198.34285714285,89512.525,-15314.182142857142,0.9795394146307612,480,485,482.5
485-490,74661.54285714286,90596.725,-15935.182142857142,0.9723739966255853,485,490,487.5
490-495,75252,91692.65,-16440.649999999994,0.9699277616872765,490,495,492.5
495-500,80080.87096774194,92667.7,-12586.829032258058,0.8999169876573238,495,500,497.5
500-505,81641.16666666667,93360.5,-11719.333333333328,0.8835096064561213,500,505,502.5
505-510,81030.9,93094.675,-12063.775000000009,0.8585970404312796,505,510,507.5
510-515,79680.16666666667,91943.225,-12263.058333333334,0.8052203088954931,510,515,512.5
515-520,77605.86666666667,90131.35,-12525.483333333337,0.7884566440343692,515,520,517.5
520-525,74947.5,87419.875,-12472.375,0.7952611891843061,520,525,522.5
525-530,71582.96666666666,84097.325,-12514.358333333337,0.8903363824199216,525,530,527.5
530-535,67585.06666666667,79737,-12151.933333333334,0.9348787893507584,530,535,532.5
535-540,63251.03333333333,74810.475,-11559.441666666673,0.9460921720783996,535,540,537.5
540-545,58158.666666666664,69364.9,-11206.23333333333,0.9589505183663808,540,545,542.5
545-550,52864.63333333333,63671.5,-10806.866666666669,0.9666416446899584,545,550,547.5
550-555,47435.2,57476.225,-10041.025000000001,0.9666416446899584,550,555,552.5
555-560,42252.066666666666,51584.05,-9331.983333333337,0.965750488346198,555,560,557.5
560-565,37154,45788.325,-8634.324999999997,0.9700173683061968,560,565,562.5
565-570,32526.733333333334,40537.575,-8010.8416666666635,0.9692011893910805,565,570,567.5
570-575,28490.033333333333,35900.75,-7410.716666666667,0.9719806896239414,570,575,572.5
575-580,25127,31879.775,-6752.7750000000015,0.9648398559066548,575,580,577.5
580-585,22322.1,28645.425,-6323.325000000001,0.9392790930575013,580,585,582.5
585-590,20050.3,25908.725,-5858.424999999999,0.9378389262155449,585,590,587.5
590-595,18280.333333333332,23824.15,-5543.816666666669,0.9219344046838419,590,595,592.5
595-600,17119.533333333333,22428.575,-5309.041666666668,0.9467403184865959,595,600,597.5
